mean	std	pop	T	p_clone	p_xo	p_mutop	p_bit
28.6667	0.4714	300	2	0.100	0.850	0.050	0.00417
28.6667	1.2472	300	2	0.100	0.800	0.100	0.01667
28.6667	0.4714	300	2	0.200	0.700	0.100	0.00833
28.6667	0.4714	300	2	0.200	0.700	0.100	0.01250
28.6667	0.9428	300	2	0.200	0.600	0.200	0.00833
28.3333	0.4714	300	3	0.100	0.850	0.050	0.01667
28.3333	0.4714	300	3	0.200	0.700	0.100	0.01250
28.0000	0.8165	300	2	0.100	0.800	0.100	0.00833
28.0000	0.8165	300	3	0.100	0.700	0.200	0.01667
27.6667	0.4714	200	2	0.100	0.800	0.100	0.01250
27.6667	0.4714	200	3	0.100	0.800	0.100	0.01667
27.6667	0.4714	300	2	0.100	0.700	0.200	0.00417
27.6667	1.2472	300	2	0.100	0.700	0.200	0.01250
27.6667	0.4714	300	2	0.200	0.750	0.050	0.01250
27.6667	1.8856	300	2	0.200	0.750	0.050	0.01667
27.6667	1.2472	300	2	0.300	0.600	0.100	0.01667
27.6667	0.4714	300	3	0.100	0.700	0.200	0.00833
27.6667	1.2472	300	3	0.200	0.600	0.200	0.01667
27.6667	2.0548	300	5	0.100	0.850	0.050	0.00417
27.3333	0.4714	300	2	0.100	0.800	0.100	0.00417
27.3333	1.2472	300	2	0.300	0.600	0.100	0.00833
27.3333	1.6997	300	3	0.100	0.800	0.100	0.01250
27.3333	0.4714	300	3	0.100	0.700	0.200	0.00417
27.3333	1.6997	300	3	0.100	0.700	0.200	0.01250
27.0000	0.8165	300	2	0.100	0.850	0.050	0.01667
27.0000	0.8165	300	2	0.200	0.700	0.100	0.00417
27.0000	0.8165	300	2	0.200	0.600	0.200	0.01250
27.0000	2.1602	300	2	0.300	0.600	0.100	0.01250
27.0000	0.0000	300	3	0.100	0.800	0.100	0.00417
27.0000	0.0000	300	3	0.100	0.800	0.100	0.01667
27.0000	0.8165	300	3	0.200	0.700	0.100	0.00417
27.0000	0.8165	300	3	0.200	0.600	0.200	0.00417
27.0000	0.8165	300	5	0.100	0.850	0.050	0.00833
27.0000	0.8165	300	5	0.100	0.700	0.200	0.01667
27.0000	0.8165	300	5	0.300	0.500	0.200	0.01667
26.6667	0.4714	200	2	0.100	0.800	0.100	0.01667
26.6667	0.9428	200	3	0.100	0.700	0.200	0.00833
26.6667	0.4714	200	5	0.200	0.700	0.100	0.01667
26.6667	0.9428	300	2	0.100	0.850	0.050	0.00833
26.6667	0.4714	300	2	0.100	0.850	0.050	0.01250
