generation,generation_mean,generation_std,best_fitness_mean,best_fitness_std,mean_fitness_mean,mean_fitness_std,std_fitness_mean,std_fitness_std,best_index_mean,best_index_std
0,0.0,0.0,64.8,1.6193277068654834,50.152,0.2305238264646426,4.9877473611312535,0.10244321146157323,150.8,100.114157063047
1,1.0,0.0,65.1,0.567646212197548,52.95566666666666,0.32023159057928446,4.366273723748062,0.20109389851604165,153.4,86.10742644446464
2,2.0,0.0,66.7,1.2516655570345727,55.29333333333334,0.4560809977879051,4.028138242013254,0.3347452927177711,146.9,109.42115375414797
3,3.0,0.0,68.5,2.3687784005919825,57.57899999999999,0.5508871632799838,3.70634552072721,0.2924346352770937,124.0,96.44918063127568
4,4.0,0.0,70.0,1.8257418583505527,59.643666666666675,0.7582231503185676,3.627047262041919,0.27717343819882206,125.8,92.23135162309084
5,5.0,0.0,71.7,2.1628170930011126,61.68666666666667,1.0124301530549225,3.495395480627269,0.28189699241498506,84.4,66.3713458923017
6,6.0,0.0,72.8,1.9321835661585924,63.49966666666667,1.2362382706130728,3.33685577696336,0.2760908138562949,82.3,58.54352606774249
7,7.0,0.0,74.9,2.3781411975649305,65.33266666666667,1.3754485688065932,3.268615216219404,0.2697349212460326,125.6,91.83100420518842
8,8.0,0.0,75.7,1.8287822299126935,67.16900000000001,1.4383075187589502,3.086997856182583,0.28744255965478366,128.1,64.5814730914886
9,9.0,0.0,77.2,1.6193277068654834,68.81366666666666,1.5397614453680735,2.8073732468286545,0.18804027573461699,99.6,50.76350395050891
10,10.0,0.0,78.7,2.5841396591085752,70.37366666666667,1.567462721316218,2.7235160387554265,0.1941405497544386,137.5,93.12983768195167
11,11.0,0.0,79.7,1.9465068427541903,71.812,1.5500252486991746,2.647131501851938,0.23340562560738848,116.8,97.38560240382331
12,12.0,0.0,80.4,2.11869981094276,73.16766666666668,1.5391813199888047,2.4941177910888483,0.21106373666304346,110.0,78.17928114276825
13,13.0,0.0,81.2,1.813529401164725,74.533,1.49123649911618,2.375821628233551,0.22188149360599513,98.4,97.52743203837575
14,14.0,0.0,82.9,1.9692073983655891,75.73066666666666,1.5699145215387544,2.326559141592628,0.15060497181879196,119.1,85.67697733022824
15,15.0,0.0,83.6,1.7763883459298984,76.94566666666667,1.5125296038323124,2.307281122830387,0.15938709075897384,128.1,70.93103066437926
16,16.0,0.0,84.9,2.424412872795761,78.16366666666667,1.497824306893496,2.2556365943309737,0.2353568314872997,102.9,68.9918674756509
17,17.0,0.0,85.4,1.5776212754932322,79.32300000000001,1.5903679595972733,2.21924150471125,0.22598325456987003,75.8,75.68619424967805
