condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
onemax_L100,0,10000,100.0,98.89,100.0,1,50
onemax_L100,1,10001,100.0,99.23,100.0,1,45
onemax_L100,2,10002,99.0,98.06666666666666,99.0,0,-1
onemax_L100,3,10003,100.0,99.68333333333334,100.0,1,43
onemax_L100,4,10004,100.0,99.53333333333333,100.0,1,42
onemax_L100,5,10005,100.0,99.81,100.0,1,38
onemax_L100,6,10006,100.0,99.17666666666666,100.0,1,45
onemax_L100,7,10007,100.0,99.67666666666666,100.0,1,40
onemax_L100,8,10008,100.0,98.64333333333333,100.0,1,46
onemax_L100,9,10009,100.0,98.98,100.0,1,44
