generation,best_fitness,mean_fitness,std_fitness,best_index
0,7.0,1.91,1.421935300919138,285
1,7.0,2.5933333333333333,1.409948777635399,54
2,7.0,3.51,1.4059042167468832,2
3,8.0,4.276666666666666,1.4095349903031456,10
4,9.0,5.07,1.360796335483994,145
5,10.0,5.8933333333333335,1.4475112741836897,9
6,10.0,6.693333333333333,1.4068720229249314,3
7,12.0,7.383333333333334,1.5372233265064499,111
8,12.0,8.176666666666666,1.5293099387922937,14
9,14.0,9.003333333333334,1.5821890602017894,22
10,14.0,9.7,1.5459624833740306,88
11,14.0,10.536666666666667,1.4172704595649892,28
12,15.0,11.26,1.3412929086022436,174
13,15.0,11.966666666666667,1.40909742585655,101
14,17.0,12.8,1.407124727947029,166
15,17.0,13.383333333333333,1.4547813886934657,88
16,18.0,14.1,1.4059397805975427,267
17,19.0,14.69,1.4120552397126678,261
18,20.0,15.366666666666667,1.3585122581543219,196
19,19.0,15.983333333333333,1.147339918633048,91
20,20.0,16.5,1.2948616399703354,229
21,20.0,17.096666666666668,1.1578668125287794,215
22,21.0,17.61,1.2156891049935423,11
23,22.0,18.21,1.1310319771488926,195
24,22.0,18.74,1.0734989520255713,234
25,23.0,19.203333333333333,1.1174325731584682,152
26,23.0,19.663333333333334,1.1874295300727908,26
27,24.0,20.216666666666665,1.2973263103612582,253
28,24.0,20.74,1.2106747429980247,221
29,24.0,21.333333333333332,1.2710450643291746,21
30,25.0,21.793333333333333,1.1960862101964984,27
31,25.0,22.233333333333334,1.2957194483717873,25
32,25.0,22.78,1.091604323919615,19
33,26.0,23.256666666666668,1.0412119007302127,200
34,26.0,23.56,1.0163988718346095,56
35,26.0,24.033333333333335,0.9826268648655784,12
36,26.0,24.39,0.9405140438434011,18
37,27.0,24.796666666666667,0.8575093131985345,132
38,27.0,25.093333333333334,0.8667692247010671,22
39,28.0,25.403333333333332,0.8209682630217132,216
40,27.0,25.676666666666666,0.7908574811908625,11
41,28.0,25.923333333333332,0.8470274821725418,1
42,28.0,26.10333333333333,0.9305852399908828,11
43,28.0,26.483333333333334,0.7935503904744942,30
44,28.0,26.706666666666667,0.9348559009577656,4
45,28.0,27.04,0.8155161964465615,1
46,28.0,27.323333333333334,0.8238864538811698,0
47,28.0,27.57,0.696491205974634,0
48,28.0,27.79,0.5220791766261768,0
49,28.0,27.833333333333332,0.5763872155263529,0
50,28.0,27.883333333333333,0.4579543888011361,0
