condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
4bit_L30_soft15max,0,20300,14.733333333333333,14.644888888888891,14.733333333333333,0,-1
4bit_L30_soft15max,1,20301,14.8,14.606666666666667,14.8,0,-1
4bit_L30_soft15max,2,20302,14.766666666666667,14.645555555555553,14.766666666666667,0,-1
4bit_L30_soft15max,3,20303,14.666666666666666,14.446555555555554,14.666666666666666,0,-1
4bit_L30_soft15max,4,20304,14.7,14.520444444444443,14.7,0,-1
4bit_L30_soft15max,5,20305,14.833333333333334,14.71566666666667,14.833333333333334,0,-1
4bit_L30_soft15max,6,20306,14.633333333333333,14.453444444444443,14.633333333333333,0,-1
4bit_L30_soft15max,7,20307,14.733333333333333,14.605999999999998,14.766666666666667,0,-1
4bit_L30_soft15max,8,20308,14.8,14.675888888888888,14.8,0,-1
4bit_L30_soft15max,9,20309,14.733333333333333,14.560999999999998,14.733333333333333,0,-1
