generation,best_fitness,mean_fitness,std_fitness,best_index
0,7.0,1.77,1.3845938032506142,77
1,8.0,2.54,1.3410443691392167,86
2,7.0,3.025,1.2346558224865747,44
3,9.0,3.755,1.4017756596545683,55
4,10.0,4.505,1.574793637274421,161
5,10.0,5.415,1.6561325430049372,78
6,11.0,6.415,1.797991935465785,14
7,11.0,7.385,1.845745106996088,30
8,12.0,8.495,1.6155417048160656,157
9,13.0,9.385,1.3026031629011194,146
10,14.0,10.175,1.0836858400846623,16
11,14.0,10.765,1.019693581425322,87
12,14.0,11.335,0.9658027748976495,20
13,14.0,11.695,0.9284260875266269,0
14,16.0,12.14,1.0346013725102052,71
15,16.0,12.53,0.9894948206029175,54
16,16.0,12.95,0.9260129588726067,69
17,16.0,13.265,1.0838703797041416,164
18,17.0,13.805,1.0986241395490999,82
19,17.0,14.36,1.0297572529484802,133
20,17.0,14.745,1.034395959002161,12
21,18.0,15.235,0.9847715471113084,6
22,18.0,15.765,1.0098390960940262,25
23,18.0,16.24,0.9068627239003707,27
24,19.0,16.66,0.9718024490605074,64
25,20.0,17.25,1.0136567466356647,13
26,21.0,17.74,0.9707728879609278,45
27,21.0,18.125,0.9107002800043492,130
28,21.0,18.43,0.9670056876771718,16
29,21.0,18.915,1.0038799729051278,12
30,22.0,19.285,0.9918543239810974,31
31,22.0,19.75,0.9682458365518543,74
32,22.0,20.175,0.8912771734987944,3
33,23.0,20.565,0.9087216295433931,155
34,23.0,21.06,0.8522910301065005,12
35,23.0,21.39,0.7196526940128829,35
36,24.0,21.69,0.7098591409568521,27
37,24.0,22.05,0.6614378277661478,144
38,24.0,22.27,0.7121095421351972,39
39,24.0,22.6,0.6000000000000001,16
40,24.0,22.715,0.6736282357502541,18
41,24.0,22.89,0.5548873759602033,10
42,24.0,23.02,0.574108003776293,8
43,24.0,23.17,0.5925369186810219,4
44,24.0,23.37,0.5505451843400321,0
45,25.0,23.55,0.606217782649107,11
46,25.0,23.65,0.7053367989832943,9
47,25.0,23.82,0.5075431016179808,27
48,25.0,23.93,0.44170125650715547,21
49,25.0,23.93,0.4528796749689701,1
50,25.0,24.015,0.35323504922360127,40
