generation,generation_mean,generation_std,best_fitness_mean,best_fitness_std,mean_fitness_mean,mean_fitness_std,std_fitness_mean,std_fitness_std,best_index_mean,best_index_std
0,0.0,0.0,6.2,1.0954451150103321,1.864,0.07893034904268442,1.33300059631567,0.06735549552624201,38.6,23.575410919006266
1,1.0,0.0,7.2,0.8366600265340756,3.414,0.13957077057894304,1.3242510470204907,0.1293211335452096,27.6,25.08585258666725
2,2.0,0.0,8.2,0.8366600265340753,4.99,0.40700122849937437,1.3032292370206633,0.1967662184374509,37.2,38.803350370812055
3,3.0,0.0,9.2,0.44721359549995804,6.336,0.671736555503718,1.0319952307678626,0.14622689421061558,25.2,21.62637278879655
4,4.0,0.0,10.0,0.7071067811865476,7.414,0.6132128504850495,0.9291774244162045,0.2702066661725536,50.6,43.28163582860519
5,5.0,0.0,10.4,0.5477225575051662,8.462,0.5939023488756374,0.9388172811602585,0.20310746107313532,23.0,37.70278504301771
6,6.0,0.0,11.2,0.44721359549995804,9.422,0.6310071314969425,0.836005953331307,0.20758746949964368,20.4,28.50964748992874
7,7.0,0.0,11.8,0.8366600265340755,10.254,0.4716248509143687,0.7054075716284317,0.22896549382297457,19.4,27.44631122755843
8,8.0,0.0,12.8,0.44721359549995804,10.974,0.4750052631287365,0.6749285228534271,0.10776994617523827,38.2,28.621670111997307
9,9.0,0.0,13.0,0.7071067811865476,11.620000000000001,0.501697119784437,0.6682243308252698,0.09821051174085361,9.8,9.85900603509299
10,10.0,0.0,13.8,0.44721359549995804,12.248000000000001,0.38745322298311113,0.6051617445787626,0.17385073661904799,28.0,37.49666651850535
11,11.0,0.0,14.0,0.7071067811865476,12.831999999999999,0.3566090296108605,0.5014985723548794,0.11477794826325444,20.4,36.8822450509727
12,12.0,0.0,14.2,0.44721359549995776,13.286000000000001,0.36827978494617364,0.6016869917394795,0.10995887851542288,3.6,3.5777087639996634
13,13.0,0.0,14.8,0.8366600265340756,13.797999999999998,0.4349942528355977,0.5366276910076324,0.16526766639234416,17.0,24.474476501040833
14,14.0,0.0,14.8,0.8366600265340756,14.212,0.5143636845656976,0.43160733099621246,0.17718320966702045,2.2,3.3466401061363023
15,15.0,0.0,15.4,1.140175425099138,14.514000000000001,0.7324479503691712,0.3876690970217703,0.2071613839930274,30.4,31.053180191407126
16,16.0,0.0,15.6,1.3416407864998738,14.794,0.8459491710498921,0.364995938961222,0.13151979196025934,5.2,5.974947698515862
17,17.0,0.0,15.8,1.6431676725154984,15.022,1.0066131332344124,0.44570562321047297,0.17409227954795936,18.8,38.17983761096948
18,18.0,0.0,15.8,1.6431676725154984,15.319999999999999,1.169658069693874,0.4082795152877913,0.10263915795376409,0.2,0.4472135954999579
19,19.0,0.0,16.0,1.414213562373095,15.529999999999998,1.3276106356910518,0.33949605720296394,0.22305388122503556,7.4,14.926486525636232
20,20.0,0.0,16.2,1.3038404810405295,15.741999999999999,1.5693374398133757,0.269841791809896,0.10225829668555465,0.8,1.7888543819998317
21,21.0,0.0,16.2,1.3038404810405295,15.813999999999998,1.579693008150634,0.28014201092405555,0.10356431404824236,1.4,3.1304951684997055
22,22.0,0.0,16.4,1.51657508881031,15.956,1.442681531038642,0.2706582042412538,0.14028603136493914,15.8,32.08114711166046
23,23.0,0.0,16.4,1.51657508881031,16.074,1.3672892890679726,0.3492079092494459,0.13690250234030948,2.6,5.272570530585627
24,24.0,0.0,16.6,1.341640786499874,16.184,1.3427136701471394,0.36738954347730723,0.12681149072311892,10.2,22.807893370497855
25,25.0,0.0,16.6,1.341640786499874,16.322,1.4138847194874133,0.305500171826126,0.192774625580649,4.4,9.838699100999074
26,26.0,0.0,16.8,1.0954451150103324,16.4,1.4256928140381426,0.3231046775591405,0.10910641215920734,2.2,4.381780460041329
27,27.0,0.0,17.0,1.4142135623730951,16.514000000000003,1.362086634542753,0.30538912972926846,0.1428175385028046,0.6,0.894427190999916
28,28.0,0.0,17.0,1.4142135623730951,16.630000000000003,1.2673002801230662,0.3381244420778266,0.11142184295257387,1.2,2.6832815729997477
29,29.0,0.0,17.2,1.3038404810405297,16.764,1.2156808791784133,0.40437782735716776,0.16762522461542212,9.6,18.22909761891685
30,30.0,0.0,17.2,1.3038404810405297,16.926000000000002,1.3140890380792318,0.3454229665541235,0.1570946139152647,2.8,5.718391382198319
31,31.0,0.0,17.2,1.3038404810405297,17.038,1.3206324242574101,0.36268787313927975,0.179434900025419,0.2,0.447213595499958
32,32.0,0.0,17.4,1.3416407864998734,17.128,1.3139710803514677,0.35124450685300923,0.06151520549411245,18.6,41.034132134114884
33,33.0,0.0,17.4,1.3416407864998734,17.162,1.2962908624224743,0.2914494247915685,0.09025819068555398,5.4,11.523888232710346
34,34.0,0.0,17.4,1.3416407864998734,17.22,1.3095609951430285,0.28387945305104945,0.13716985882217816,0.0,0.0
35,35.0,0.0,17.4,1.3416407864998734,17.312,1.3302330622864558,0.28451932413924497,0.11229845385927663,0.4,0.5477225575051661
36,36.0,0.0,17.4,1.3416407864998734,17.348,1.3369816752670916,0.24976480571211224,0.0901217359158629,0.0,0.0
37,37.0,0.0,17.4,1.3416407864998734,17.332,1.3467627853486317,0.29687759604377756,0.09099239643555153,0.2,0.447213595499958
38,38.0,0.0,17.4,1.3416407864998734,17.336000000000002,1.3303119934812297,0.27558486541598126,0.0649324837201641,0.0,0.0
39,39.0,0.0,17.6,1.140175425099138,17.348,1.3184726011563523,0.2772070848849213,0.11914398898813583,6.2,13.863621460498695
40,40.0,0.0,17.6,1.140175425099138,17.342000000000002,1.3260920028414334,0.285141428920287,0.033807645461066224,6.6,14.758048651498612
41,41.0,0.0,17.6,1.140175425099138,17.348,1.320215891435945,0.3330716309711238,0.04448719818997785,3.2,7.155417527999327
42,42.0,0.0,17.6,1.140175425099138,17.35,1.2759898118715534,0.4162019793328149,0.1212224834727819,1.4,3.1304951684997055
