condition,pop_size,tournament_size,p_clone,p_mutation_operator,p_bit_factor,n_runs,best_of_run_mean,best_of_run_std,final_best_mean,final_best_std,ideal_found_fraction,first_ideal_generation_mean
pop300_t2,300,2,0.2,0.1,1.0,5,26.6,1.5165750888103102,26.6,1.5165750888103102,0.0,
pop300_t3,300,3,0.2,0.1,1.0,5,26.2,0.8366600265340756,26.2,0.8366600265340756,0.0,
pop300_t5,300,5,0.2,0.1,1.0,5,25.4,1.51657508881031,25.4,1.51657508881031,0.0,
pop200_t2,200,2,0.2,0.1,1.0,5,25.4,2.073644135332772,25.4,2.073644135332772,0.0,
pop200_t3,200,3,0.2,0.1,1.0,5,24.2,1.3038404810405297,24.2,1.3038404810405297,0.0,
pop300_t7,300,7,0.2,0.1,1.0,5,23.4,1.949358868961793,23.4,1.949358868961793,0.0,
pop200_t5,200,5,0.2,0.1,1.0,5,22.6,2.0736441353327724,22.6,2.0736441353327724,0.0,
pop200_t7,200,7,0.2,0.1,1.0,5,22.2,3.1144823004794873,22.2,3.1144823004794873,0.0,
pop100_t2,100,2,0.2,0.1,1.0,5,20.2,0.8366600265340756,20.2,0.8366600265340756,0.0,
pop100_t7,100,7,0.2,0.1,1.0,5,19.8,0.8366600265340756,19.8,0.8366600265340756,0.0,
pop100_t5,100,5,0.2,0.1,1.0,5,18.0,1.224744871391589,18.0,1.224744871391589,0.0,
pop100_t3,100,3,0.2,0.1,1.0,5,18.0,2.23606797749979,18.0,2.23606797749979,0.0,
pop50_t2,50,2,0.2,0.1,1.0,5,15.8,3.1144823004794873,15.8,3.1144823004794873,0.0,
pop50_t5,50,5,0.2,0.1,1.0,5,15.0,2.7386127875258306,15.0,2.7386127875258306,0.0,
pop50_t7,50,7,0.2,0.1,1.0,5,14.6,2.073644135332772,14.6,2.073644135332772,0.0,
pop50_t3,50,3,0.2,0.1,1.0,5,14.2,4.266145801540309,14.2,4.266145801540309,0.0,
pop20_t2,20,2,0.2,0.1,1.0,5,11.0,1.8708286933869707,11.0,1.8708286933869707,0.0,
pop20_t7,20,7,0.2,0.1,1.0,5,10.4,1.1401754250991378,10.4,1.1401754250991378,0.0,
pop20_t3,20,3,0.2,0.1,1.0,5,9.8,2.949576240750525,9.8,2.949576240750525,0.0,
pop20_t5,20,5,0.2,0.1,1.0,5,8.8,1.0954451150103321,8.8,1.0954451150103321,0.0,
