condition,pop_size,tournament_size,p_clone,p_mutation_operator,p_crossover,p_bit_factor,n_runs,best_of_run_mean,best_of_run_std,final_best_mean,final_best_std,ideal_found_fraction,first_ideal_generation_mean
pc0.10_pmop0.10_pbf1.50,300,2,0.1,0.1,0.8,1.5,3,28.666666666666668,0.5773502691896258,28.666666666666668,0.5773502691896258,0.0,
pc0.10_pmop0.05_pbf0.50,300,2,0.1,0.05,0.85,0.5,3,28.333333333333332,1.1547005383792515,28.333333333333332,1.1547005383792515,0.0,
pc0.10_pmop0.10_pbf1.00,300,2,0.1,0.1,0.8,1.0,3,28.333333333333332,2.081665999466133,28.333333333333332,2.081665999466133,0.3333333333333333,50.0
pc0.10_pmop0.20_pbf1.00,300,2,0.1,0.2,0.7,1.0,3,28.333333333333332,0.5773502691896258,28.333333333333332,0.5773502691896258,0.0,
pc0.10_pmop0.05_pbf1.50,300,2,0.1,0.05,0.85,1.5,3,28.0,0.0,28.0,0.0,0.0,
pc0.10_pmop0.05_pbf1.00,300,2,0.1,0.05,0.85,1.0,3,27.666666666666668,1.1547005383792515,27.666666666666668,1.1547005383792515,0.0,
pc0.30_pmop0.05_pbf1.00,300,2,0.3,0.05,0.6499999999999999,1.0,3,27.666666666666668,1.5275252316519468,27.666666666666668,1.5275252316519468,0.0,
pc0.10_pmop0.20_pbf0.50,300,2,0.1,0.2,0.7,0.5,3,27.666666666666668,0.5773502691896258,27.666666666666668,0.5773502691896258,0.0,
pc0.20_pmop0.20_pbf1.50,300,2,0.2,0.2,0.6000000000000001,1.5,3,27.333333333333332,1.1547005383792515,27.333333333333332,1.1547005383792515,0.0,
pc0.20_pmop0.10_pbf1.50,300,2,0.2,0.1,0.7000000000000001,1.5,3,27.333333333333332,1.1547005383792515,27.0,1.0,0.0,
pc0.20_pmop0.10_pbf1.00,300,2,0.2,0.1,0.7000000000000001,1.0,3,27.333333333333332,0.5773502691896258,27.333333333333332,0.5773502691896258,0.0,
pc0.20_pmop0.05_pbf1.00,300,2,0.2,0.05,0.75,1.0,3,27.333333333333332,1.5275252316519468,27.333333333333332,1.5275252316519468,0.0,
pc0.20_pmop0.05_pbf0.50,300,2,0.2,0.05,0.75,0.5,3,27.333333333333332,2.3094010767585034,27.333333333333332,2.3094010767585034,0.3333333333333333,45.0
pc0.20_pmop0.20_pbf0.50,300,2,0.2,0.2,0.6000000000000001,0.5,3,27.0,1.0,26.666666666666668,1.5275252316519468,0.0,
pc0.20_pmop0.20_pbf1.00,300,2,0.2,0.2,0.6000000000000001,1.0,3,27.0,2.6457513110645907,27.0,2.6457513110645907,0.3333333333333333,49.0
pc0.30_pmop0.20_pbf1.50,300,2,0.3,0.2,0.49999999999999994,1.5,3,27.0,0.0,27.0,0.0,0.0,
pc0.30_pmop0.20_pbf0.50,300,2,0.3,0.2,0.49999999999999994,0.5,3,26.666666666666668,1.1547005383792515,26.666666666666668,1.1547005383792515,0.0,
pc0.10_pmop0.20_pbf1.50,300,2,0.1,0.2,0.7,1.5,3,26.333333333333332,0.5773502691896258,26.333333333333332,0.5773502691896258,0.0,
pc0.10_pmop0.10_pbf0.50,300,2,0.1,0.1,0.8,0.5,3,26.333333333333332,0.5773502691896258,26.333333333333332,0.5773502691896258,0.0,
pc0.30_pmop0.05_pbf0.50,300,2,0.3,0.05,0.6499999999999999,0.5,3,26.0,1.0,26.0,1.0,0.0,
pc0.30_pmop0.10_pbf1.50,300,2,0.3,0.1,0.6,1.5,3,26.0,1.0,26.0,1.0,0.0,
pc0.20_pmop0.05_pbf1.50,300,2,0.2,0.05,0.75,1.5,3,25.666666666666668,1.5275252316519465,25.666666666666668,1.5275252316519465,0.0,
pc0.30_pmop0.05_pbf1.50,300,2,0.3,0.05,0.6499999999999999,1.5,3,25.666666666666668,2.5166114784235836,25.666666666666668,2.5166114784235836,0.0,
pc0.30_pmop0.10_pbf0.50,300,2,0.3,0.1,0.6,0.5,3,25.333333333333332,1.5275252316519468,25.333333333333332,1.5275252316519468,0.0,
pc0.20_pmop0.10_pbf0.50,300,2,0.2,0.1,0.7000000000000001,0.5,3,25.0,1.0,25.0,1.0,0.0,
pc0.30_pmop0.20_pbf1.00,300,2,0.3,0.2,0.49999999999999994,1.0,3,25.0,0.0,25.0,0.0,0.0,
pc0.30_pmop0.10_pbf1.00,300,2,0.3,0.1,0.6,1.0,3,24.666666666666668,1.5275252316519468,24.666666666666668,1.5275252316519468,0.0,
