generation,best_fitness,mean_fitness,std_fitness,best_index
0,6.0,3.34125,0.8544652933267682,55
1,6.5,3.785,0.826150712642675,123
2,6.5,4.115,0.8096449839281412,31
3,7.0,4.55125,0.8526786836200374,166
4,7.25,4.9875,0.8517445332962226,57
5,7.5,5.36,0.832030648473961,78
6,8.25,5.61125,0.9037067762831039,73
7,7.75,6.0125,0.8550402037331344,24
8,8.25,6.4625,0.8473303665041163,1
9,9.0,6.8075,0.8157473567226559,90
10,9.0,7.01875,0.7092855119766651,177
11,8.75,7.21625,0.6579691767096693,5
12,9.25,7.37,0.6981940990870662,14
13,9.25,7.66,0.6937398647908306,52
14,9.75,7.91375,0.6899264000601804,186
15,9.75,8.17375,0.7484139479592826,20
16,9.75,8.47125,0.581042973884032,147
17,9.75,8.65875,0.5723730754499202,189
18,9.75,8.80625,0.6171696991103824,135
19,9.75,8.97375,0.5659049721463844,1
20,9.75,9.14875,0.4500677032403014,13
21,9.75,9.25,0.47696960070847283,6
22,10.0,9.275,0.6637959023675877,0
23,9.75,9.41625,0.42813366779546785,0
24,10.0,9.46875,0.4974544577144726,16
25,10.0,9.53625,0.48437943546356294,6
26,10.0,9.6,0.5031152949374528,2
27,10.0,9.67625,0.39670321085163907,8
28,10.0,9.70375,0.4352280293133704,2
29,10.0,9.8075,0.34342939594624106,3
30,10.0,9.8675,0.3121598148384894,0
31,10.0,9.87375,0.438033603163045,0
32,10.0,9.88875,0.4320716809743494,0
33,10.0,9.855,0.5234262125648657,0
34,10.0,9.915,0.3844151401805085,0
35,10.0,9.94,0.25768197453450253,0
36,10.0,9.93125,0.30097497819586266,0
37,10.0,9.915,0.34318362431794436,0
38,10.0,9.87625,0.46636727747559653,0
39,10.0,9.85125,0.5506232264443628,0
40,10.0,9.90125,0.37156552248560415,0
41,10.0,9.9225,0.36002604072483424,0
42,10.0,9.875,0.5190134873006673,0
43,10.0,9.9025,0.4807481149209012,0
44,10.0,9.8775,0.4879741284125625,0
45,10.0,9.925,0.38649062084350766,0
46,10.0,9.8825,0.4942861013623588,0
47,10.0,9.90125,0.38478687282702356,0
48,10.0,9.895,0.45163591531232317,0
49,10.0,9.895,0.41710310475948265,0
50,10.0,9.85625,0.5168640416008836,0
