condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
4bit_L30_soft15trap_int,0,30100,14.466666666666667,14.260444444444444,14.466666666666667,0,-1
4bit_L30_soft15trap_int,1,30101,14.4,14.290444444444445,14.4,0,-1
4bit_L30_soft15trap_int,2,30102,14.133333333333333,13.97177777777778,14.133333333333333,0,-1
4bit_L30_soft15trap_int,3,30103,14.266666666666667,14.089444444444444,14.266666666666667,0,-1
4bit_L30_soft15trap_int,4,30104,14.533333333333333,14.417222222222223,14.533333333333333,0,-1
4bit_L30_soft15trap_int,5,30105,14.5,14.298444444444442,14.5,0,-1
4bit_L30_soft15trap_int,6,30106,14.3,14.167444444444445,14.3,0,-1
4bit_L30_soft15trap_int,7,30107,14.3,14.177111111111111,14.3,0,-1
4bit_L30_soft15trap_int,8,30108,14.466666666666667,14.303444444444446,14.466666666666667,0,-1
4bit_L30_soft15trap_int,9,30109,14.333333333333334,14.113111111111108,14.333333333333334,0,-1
