condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
4bit_L30_trap,0,30100,26.75,26.42375,26.75,0,-1
4bit_L30_trap,1,30101,26.0,25.66,26.25,0,-1
4bit_L30_trap,2,30102,26.5,26.0925,26.5,0,-1
4bit_L30_trap,3,30103,25.5,24.985,25.5,0,-1
4bit_L30_trap,4,30104,27.0,26.73875,27.0,0,-1
4bit_L30_trap,5,30105,26.25,25.53625,26.25,0,-1
4bit_L30_trap,6,30106,27.0,26.3775,27.0,0,-1
4bit_L30_trap,7,30107,26.0,25.66375,26.0,0,-1
4bit_L30_trap,8,30108,25.75,25.05625,25.75,0,-1
4bit_L30_trap,9,30109,26.75,26.04,26.75,0,-1
