generation,generation_mean,generation_std,best_fitness_mean,best_fitness_std,mean_fitness_mean,mean_fitness_std,std_fitness_mean,std_fitness_std,best_index_mean,best_index_std
0,0.0,0.0,64.5,1.8408935028645428,50.070499999999996,0.24937087507031205,5.044519191370553,0.15051256091612175,90.1,55.36033477740779
1,1.0,0.0,64.8,2.2010098692292237,52.952,0.432609652124303,4.323040146215415,0.21235163241347765,100.4,71.46592039411357
2,2.0,0.0,66.9,2.183269719175042,55.451499999999996,0.42078002962751593,3.9472610470029204,0.2171218982082785,85.9,65.17574531816093
3,3.0,0.0,68.3,2.1108186931983424,57.60850000000001,0.42348455304375193,3.703837530445014,0.38211407265221464,110.1,72.59392383511017
4,4.0,0.0,70.1,1.6633299933166201,59.71900000000001,0.5764970848919273,3.613082860536635,0.4157419644394853,91.6,53.40453580403489
5,5.0,0.0,71.8,2.1499353995462798,61.567499999999995,0.6928894813268085,3.496762783402519,0.45461526665848406,96.9,59.47072108749537
6,6.0,0.0,72.7,2.4966644414765375,63.5905,0.7773618133719278,3.437287656102722,0.36818031392218703,62.7,42.29276271157724
7,7.0,0.0,73.8,2.0439612955674518,65.553,0.9195868637600263,3.220842689187447,0.40178403749578756,80.5,66.10975722236469
8,8.0,0.0,75.3,1.828782229912693,67.41,0.9697794709222389,3.026622517070686,0.3512377149464204,81.2,50.08836635831163
9,9.0,0.0,77.0,1.825741858350556,69.00699999999999,1.010709871547933,2.87480120543139,0.3216071261824955,103.1,66.53228122080623
10,10.0,0.0,77.9,1.7288403306519922,70.57000000000001,1.105712440013226,2.7613011740934947,0.2808238395030048,54.1,45.27312177833064
11,11.0,0.0,79.1,1.7288403306519926,72.075,1.1605649965043379,2.5808586369108255,0.2388018618082887,62.0,55.96625967690017
12,12.0,0.0,80.1,2.3309511649396124,73.562,1.1966949857373406,2.4483994285808945,0.26588476644497233,56.6,43.18230090107649
13,13.0,0.0,80.9,2.078995483935023,75.0405,1.1825078106389921,2.2710995124395135,0.3222740459040093,72.6,59.51507745474623
