generation,best_fitness,mean_fitness,std_fitness,best_index
0,63.0,50.08,5.019322663467651,52
1,64.0,53.04,4.257745882506376,78
2,65.0,55.66,3.771524890544937,35
3,67.0,57.815,3.834158969056969,149
4,70.0,60.225,3.205366593698761,136
5,73.0,62.165,3.138116473300505,192
6,71.0,63.75,3.344772040064913,61
7,72.0,65.65,3.0393255830858266,36
8,74.0,67.225,2.957088940157194,46
9,76.0,68.895,2.7338571652520547,192
10,77.0,70.525,2.70358558214827,104
11,80.0,71.865,2.6808161070838112,83
12,82.0,73.145,2.9041306788779324,24
13,83.0,74.59,2.856903918580392,145
14,81.0,76.025,2.55819760769179,2
15,84.0,77.635,2.285120346940178,194
16,84.0,78.605,2.3535027087301175,13
17,85.0,79.675,1.9973419837373871,184
18,86.0,80.65,1.7284386017443605,196
19,86.0,81.41,1.7498285630312473,59
20,86.0,82.31,1.7070149384232112,101
21,86.0,83.11,1.5158825812047583,38
22,87.0,83.87,1.4223571984561403,71
23,88.0,84.71,1.4407983897825538,38
24,88.0,85.5,1.2165525060596438,2
25,89.0,86.185,1.2372449232063956,63
26,90.0,86.855,1.1549783547755341,8
27,91.0,87.46,1.232233744059949,12
28,91.0,88.07,1.1640876255677663,31
29,91.0,88.55,1.1434596626029272,40
30,92.0,89.015,1.079247422975844,100
31,93.0,89.58,0.966229786334493,69
32,93.0,90.12,0.9516301802696256,42
33,93.0,90.655,0.9777397404217545,17
34,94.0,91.095,1.0029830507042479,1
35,95.0,91.795,1.0454544466403115,117
36,95.0,92.255,1.048796929820068,73
37,96.0,92.79,0.9777013859047147,132
38,96.0,93.215,0.948037446517805,62
39,96.0,93.715,0.9506708157927223,13
40,96.0,94.23,0.8527015890685321,7
41,96.0,94.675,0.7275816105427623,13
42,97.0,94.98,0.6925315877272314,199
43,97.0,95.305,0.6870043667983489,10
44,97.0,95.495,0.734829912292634,5
45,98.0,95.84,0.7378346698278687,41
46,98.0,96.15,0.7262919523166975,98
47,98.0,96.495,0.7070891032960415,4
48,98.0,96.765,0.6322776288941433,6
49,98.0,96.995,0.620463536398393,2
50,98.0,97.23,0.6760917097554148,2
