generation,best_fitness,mean_fitness,std_fitness,best_index
0,9.4,7.5185,0.6330937924194171,171
1,9.5,7.801500000000001,0.57536749126102,154
2,9.5,8.143,0.4967403748438413,152
3,9.7,8.41,0.48928519290900263,15
4,9.7,8.640500000000001,0.41074292446736077,36
5,9.9,8.886499999999998,0.39581277139576987,46
6,10.0,9.159500000000001,0.340014337932976,186
7,10.1,9.306000000000001,0.3141082615914456,90
8,10.4,9.5435,0.3347502800596289,23
9,10.6,9.715,0.3202733207746159,115
10,10.7,9.900500000000001,0.30157876251486937,68
11,11.0,10.107000000000001,0.2850456103854259,186
12,11.0,10.2725,0.29477745843262837,167
13,11.4,10.428000000000003,0.297011784277998,59
14,11.4,10.569,0.30485898379414705,176
15,11.6,10.75,0.2714774392099646,175
16,11.7,10.9155,0.26778676218215114,136
17,11.7,11.040500000000002,0.2514154927604899,92
18,11.8,11.186,0.21726481537515455,40
19,11.9,11.295,0.21765798859678925,22
20,11.8,11.41,0.21047565179849187,11
21,12.2,11.526,0.20328305389284176,23
22,12.3,11.6405,0.19750886056073538,170
23,12.3,11.7525,0.20443519755658524,4
24,12.5,11.8585,0.2050067072073498,34
25,12.5,11.9775,0.2081916184672187,7
26,12.5,12.097000000000001,0.1766097392557953,40
27,12.6,12.1905,0.15639613166571625,85
28,12.6,12.2865,0.15220955948954074,11
29,12.7,12.365500000000003,0.1475118639296514,32
30,12.9,12.438000000000002,0.14372195378577332,99
31,13.0,12.499,0.1577941697275281,53
32,13.1,12.578,0.16067358214715935,141
33,13.3,12.6625,0.17619236646347652,109
34,13.4,12.757,0.16416759729008665,185
35,13.4,12.831999999999999,0.1832375507367418,14
36,13.5,12.943,0.19118315825406795,62
37,13.5,13.039000000000001,0.1920390585271652,57
38,13.6,13.1175,0.19960899278339134,9
39,13.6,13.247,0.1854481059488072,31
40,13.8,13.344000000000001,0.1845643519209493,177
41,13.9,13.413499999999999,0.1821201526465427,199
42,13.8,13.493000000000002,0.15476110622504594,12
43,13.9,13.5695,0.14703656007945767,5
44,14.0,13.647499999999997,0.1272546659262442,128
45,14.0,13.7005,0.114672359354816,85
46,14.0,13.745,0.10712142642814308,0
47,14.1,13.795,0.09785192895390495,56
48,14.1,13.841000000000001,0.09959417653658276,67
49,14.1,13.8825,0.09717895862788398,0
50,14.1,13.921000000000001,0.09032718306246443,5
