generation,best_fitness,mean_fitness,std_fitness,best_index
0,3.0,0.575,0.7774155902733106,92
1,3.0,0.96,0.9156418513807676,39
2,5.0,1.335,0.9761019413975162,152
3,4.0,1.805,0.9523523507609984,55
4,5.0,2.225,1.0268276388956425,8
5,6.0,2.71,1.0128672173587216,20
6,6.0,3.215,0.9842636841822417,57
7,7.0,3.745,1.0099381169160813,149
8,7.0,4.23,1.0085137579626766,11
9,7.0,4.86,1.000199980003999,17
10,8.0,5.43,0.9618211892030659,189
11,8.0,5.81,0.9559811713626999,17
12,8.0,6.285,0.9453967421141242,6
13,9.0,6.855,0.8449704136832247,36
14,9.0,7.21,0.8808518604169489,2
15,9.0,7.58,0.8084553172563095,26
16,10.0,7.95,0.7599342076785333,134
17,10.0,8.3,0.714142842854285,6
18,10.0,8.55,0.733143914930759,13
19,10.0,8.91,0.6869497798238238,0
20,10.0,9.29,0.6602272336097625,3
21,10.0,9.525,0.5994789404140899,1
22,10.0,9.765,0.48966825504620987,1
23,10.0,9.88,0.34,0
24,10.0,9.935,0.26603571188846054,0
25,10.0,9.945,0.24894778569009204,0
26,10.0,9.97,0.19773719933285192,0
27,10.0,9.96,0.2615339366124404,0
28,10.0,9.93,0.2740437921208944,0
29,10.0,9.97,0.1977371993328519,0
30,10.0,9.975,0.15612494995995993,0
31,10.0,9.94,0.2764054992217051,0
32,10.0,9.96,0.19595917942265423,0
33,10.0,9.94,0.2576819745345025,0
34,10.0,9.91,0.36318039594669754,0
35,10.0,9.955,0.25094820182659205,0
36,10.0,9.935,0.3328287848128524,0
37,10.0,9.93,0.27404379212089447,0
38,10.0,9.94,0.2576819745345025,0
39,10.0,9.955,0.23016298572967808,0
40,10.0,9.945,0.3193352470367153,0
41,10.0,9.925,0.3152380053229623,0
42,10.0,9.95,0.27838821814150105,0
43,10.0,9.93,0.3083828789021855,0
44,10.0,9.965,0.20922475952907676,1
45,10.0,9.945,0.22798026230355994,0
46,10.0,9.93,0.29171904291629647,0
47,10.0,9.93,0.3083828789021855,0
48,10.0,9.94,0.31048349392520047,0
49,10.0,9.97,0.19773719933285192,0
50,10.0,9.955,0.20730412441627877,0
