condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
4bit_L10_15max,0,20000,10.0,9.94,10.0,1,16
4bit_L10_15max,1,20001,10.0,9.935,10.0,1,20
4bit_L10_15max,2,20002,10.0,9.95,10.0,1,20
4bit_L10_15max,3,20003,10.0,9.955,10.0,1,17
4bit_L10_15max,4,20004,10.0,9.925,10.0,1,20
4bit_L10_15max,5,20005,9.0,8.96,9.0,0,-1
4bit_L10_15max,6,20006,10.0,9.945,10.0,1,17
4bit_L10_15max,7,20007,10.0,9.925,10.0,1,15
4bit_L10_15max,8,20008,10.0,9.955,10.0,1,16
4bit_L10_15max,9,20009,10.0,9.935,10.0,1,14
