condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
4bit_L30_soft15max,0,20300,14.666666666666666,14.566833333333332,14.666666666666666,0,-1
4bit_L30_soft15max,1,20301,14.266666666666667,14.1205,14.266666666666667,0,-1
4bit_L30_soft15max,2,20302,14.566666666666666,14.444166666666668,14.6,0,-1
4bit_L30_soft15max,3,20303,14.433333333333334,14.313500000000003,14.433333333333334,0,-1
4bit_L30_soft15max,4,20304,14.366666666666667,14.215499999999999,14.366666666666667,0,-1
4bit_L30_soft15max,5,20305,14.733333333333333,14.627666666666665,14.733333333333333,0,-1
4bit_L30_soft15max,6,20306,14.466666666666667,14.332000000000003,14.466666666666667,0,-1
4bit_L30_soft15max,7,20307,14.2,14.135166666666667,14.233333333333333,0,-1
4bit_L30_soft15max,8,20308,14.566666666666666,14.462166666666668,14.566666666666666,0,-1
4bit_L30_soft15max,9,20309,14.5,14.450833333333335,14.5,0,-1
