generation,best_fitness,mean_fitness,std_fitness,best_index
0,5.0,1.83,1.1836807001890333,30
1,5.0,2.5,1.2529964086141667,22
2,6.0,3.18,1.2114454176726248,99
3,7.0,3.79,1.3061010680647955,52
4,7.0,4.52,1.17881296226331,15
5,8.0,5.06,1.2555476892575606,66
6,8.0,5.49,1.3378714437493613,22
7,9.0,6.36,1.315446692192428,17
8,11.0,7.22,1.3234802605252562,36
9,12.0,7.97,1.1615076409563563,32
10,11.0,8.52,1.2765578717786359,3
11,12.0,9.44,1.1429785649783641,18
12,13.0,10.11,1.2401209618420295,7
13,13.0,10.55,1.1169153951844337,11
14,14.0,11.03,1.1786008654332476,38
15,14.0,11.77,1.1122499719037984,9
16,15.0,12.36,1.0150862032359615,99
17,17.0,12.93,1.1597844627343477,20
18,17.0,13.62,1.17285975291166,14
19,17.0,13.95,1.1779218989389746,29
20,18.0,14.59,1.2656618821786487,40
21,18.0,15.25,1.16081867662439,39
22,18.0,15.66,1.1934822998268557,6
23,18.0,16.11,1.1126095451684748,22
24,19.0,16.5,1.0908712114635715,0
25,20.0,17.12,1.0514751542475933,12
26,20.0,17.68,0.9682974749528163,10
27,21.0,18.16,0.9871170143402452,63
28,20.0,18.55,0.8986100377805715,6
29,21.0,19.02,0.9162968951164245,13
30,21.0,19.53,0.8655056325639944,12
31,21.0,19.83,0.7880989785553588,0
32,22.0,20.27,0.798185442112295,30
33,22.0,20.55,0.8170067319184096,0
34,22.0,20.82,0.7263607918933951,2
35,22.0,21.15,0.6383572667401852,0
36,22.0,21.59,0.5494542747126461,0
37,22.0,21.79,0.43116122274620194,0
38,23.0,21.88,0.4534313619501854,76
39,23.0,21.91,0.617980582219215,0
40,23.0,21.95,0.606217782649107,1
41,23.0,22.17,0.6009159675029445,8
42,23.0,22.41,0.5847221562417487,0
43,23.0,22.57,0.5523585791856591,0
44,23.0,22.84,0.39293765408777004,0
45,23.0,22.96,0.19595917942265423,0
46,23.0,22.91,0.31921779399024736,0
47,23.0,22.92,0.39191835884530846,0
48,23.0,22.96,0.19595917942265423,0
49,23.0,22.92,0.3655133376499413,0
50,23.0,22.87,0.5225897052181567,0
