condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
15bit_L30_soft15trap_int,0,30300,10.466666666666667,10.365833333333335,10.466666666666667,0,-1
15bit_L30_soft15trap_int,1,30301,10.7,10.544166666666666,10.7,0,-1
15bit_L30_soft15trap_int,2,30302,10.4,10.25,10.4,0,-1
15bit_L30_soft15trap_int,3,30303,10.4,10.299166666666665,10.433333333333334,0,-1
15bit_L30_soft15trap_int,4,30304,10.3,10.184666666666667,10.3,0,-1
15bit_L30_soft15trap_int,5,30305,10.1,9.982666666666667,10.133333333333333,0,-1
15bit_L30_soft15trap_int,6,30306,10.433333333333334,10.300500000000001,10.433333333333334,0,-1
15bit_L30_soft15trap_int,7,30307,10.533333333333333,10.406,10.533333333333333,0,-1
15bit_L30_soft15trap_int,8,30308,10.4,10.207666666666665,10.433333333333334,0,-1
15bit_L30_soft15trap_int,9,30309,10.5,10.349,10.5,0,-1
