mean	std	p_clone	p_xo	p_mutop	p_bit
-26.453347	5.998159	0.050	0.750	0.200	0.03333
-28.677480	10.248297	0.100	0.500	0.400	0.02222
-28.752213	15.806007	0.200	0.400	0.400	0.02222
-30.661453	18.053482	0.200	0.400	0.400	0.01667
-30.783787	8.604557	0.050	0.850	0.100	0.01667
-35.451653	12.951464	0.050	0.650	0.300	0.01111
-36.662773	1.850988	0.050	0.550	0.400	0.03333
-37.070413	13.471474	0.200	0.700	0.100	0.01667
-37.928147	14.620776	0.200	0.500	0.300	0.02222
-39.191947	20.041533	0.100	0.700	0.200	0.01667
-39.720253	19.335442	0.100	0.500	0.400	0.01667
-40.322693	18.874944	0.050	0.850	0.100	0.03333
-41.007360	21.522358	0.050	0.550	0.400	0.01667
-41.083187	16.259477	0.200	0.400	0.400	0.01111
-42.864280	17.375501	0.050	0.550	0.400	0.00556
-43.088080	21.262526	0.200	0.600	0.200	0.03333
-43.348680	17.331341	0.100	0.600	0.300	0.01667
-43.408307	15.653083	0.050	0.650	0.300	0.01667
-43.489933	1.691051	0.200	0.400	0.400	0.00556
-43.580453	15.706170	0.100	0.600	0.300	0.02222
-43.586107	17.981099	0.050	0.850	0.100	0.00556
-44.522427	8.592996	0.050	0.650	0.300	0.03333
-44.704187	12.740329	0.200	0.700	0.100	0.00556
-45.185000	18.705906	0.050	0.650	0.300	0.02222
-46.537933	6.671063	0.050	0.750	0.200	0.02222
-47.101467	17.496455	0.100	0.700	0.200	0.02222
-49.655453	8.082825	0.100	0.600	0.300	0.03333
-51.464133	18.478574	0.200	0.400	0.400	0.03333
-53.778200	23.393558	0.100	0.800	0.100	0.01667
-54.463907	4.152471	0.100	0.800	0.100	0.01111
-54.584453	19.236628	0.050	0.850	0.100	0.01111
-54.746080	25.039380	0.200	0.500	0.300	0.01111
-56.794240	12.810934	0.100	0.700	0.200	0.01111
-57.320773	18.536649	0.200	0.600	0.200	0.00556
-57.503333	19.740026	0.050	0.750	0.200	0.01667
-57.782080	17.495811	0.100	0.500	0.400	0.01111
-57.946307	21.189704	0.200	0.500	0.300	0.01667
-59.282653	15.061129	0.050	0.750	0.200	0.01111
-59.389827	7.772462	0.100	0.800	0.100	0.03333
-59.695413	29.230343	0.100	0.700	0.200	0.03333
