generation,best_fitness,mean_fitness,std_fitness,best_index,execute_calls,execute_calls_nominal,fitness_cases,unique_programs,duplicate_ratio,freq_NOP,freq_X,freq_+,freq_-,freq_*,freq_1,freq_-1,freq_0
0,-133.13300000000004,-155.17312800000005,7.998394460536852,195,6300.0,6300.0,21.0,300.0,0.0,0.12133333333333333,0.13077777777777777,0.11933333333333333,0.12811111111111112,0.12411111111111112,0.12466666666666666,0.12811111111111112,0.12355555555555556
1,-133.13300000000004,-151.9196406666667,7.245743031430214,230,6069.0,6300.0,21.0,289.0,0.036666666666666625,0.12266666666666666,0.13311111111111112,0.11788888888888889,0.13211111111111112,0.12144444444444444,0.13,0.11588888888888889,0.12688888888888888
2,-133.13300000000004,-148.2141290666667,6.648681581192505,29,6111.0,6300.0,21.0,291.0,0.030000000000000027,0.11288888888888889,0.13544444444444445,0.11744444444444445,0.14555555555555555,0.11744444444444445,0.1361111111111111,0.11044444444444444,0.12466666666666666
3,-123.88176000000003,-145.6209398666667,6.516939983351695,182,6048.0,6300.0,21.0,288.0,0.040000000000000036,0.10922222222222222,0.13855555555555554,0.11911111111111111,0.14944444444444444,0.11766666666666667,0.13422222222222221,0.10833333333333334,0.12344444444444444
4,-116.61008000000001,-143.9414374666667,6.346234459389725,22,5880.0,6300.0,21.0,280.0,0.06666666666666665,0.1111111111111111,0.14277777777777778,0.12266666666666666,0.1418888888888889,0.11422222222222222,0.13477777777777777,0.11344444444444444,0.11911111111111111
5,-116.61008000000001,-142.23369026666668,7.186160027007189,126,5922.0,6300.0,21.0,282.0,0.06000000000000005,0.11511111111111111,0.14222222222222222,0.12544444444444444,0.14644444444444443,0.10488888888888889,0.13755555555555554,0.11,0.11833333333333333
6,-116.61008000000001,-139.68729533333337,6.6267272833703466,247,5943.0,6300.0,21.0,283.0,0.05666666666666664,0.11733333333333333,0.14477777777777778,0.12355555555555556,0.14577777777777778,0.11344444444444444,0.13422222222222221,0.10566666666666667,0.11522222222222223
7,-116.61008000000001,-138.24341226666672,7.275145341049637,7,5880.0,6300.0,21.0,280.0,0.06666666666666665,0.11733333333333333,0.14944444444444444,0.12211111111111111,0.14988888888888888,0.11433333333333333,0.13355555555555557,0.10166666666666667,0.11166666666666666
8,-111.13300000000002,-136.64444493333338,6.236197342819074,195,5775.0,6300.0,21.0,275.0,0.08333333333333337,0.1228888888888889,0.155,0.11888888888888889,0.14855555555555555,0.11555555555555555,0.133,0.10066666666666667,0.10544444444444444
9,-116.61008000000001,-135.8544508,5.485520425250039,34,5775.0,6300.0,21.0,275.0,0.08333333333333337,0.12222222222222222,0.15644444444444444,0.11677777777777777,0.15055555555555555,0.11822222222222223,0.13055555555555556,0.09988888888888889,0.10533333333333333
10,-116.61008000000001,-135.32711066666667,4.710418683892784,228,5775.0,6300.0,21.0,275.0,0.08333333333333337,0.12333333333333334,0.15944444444444444,0.11511111111111111,0.15733333333333333,0.11333333333333333,0.12677777777777777,0.10233333333333333,0.10233333333333333
11,-122.13300000000002,-135.53102840000003,5.54174661296251,42,6006.0,6300.0,21.0,286.0,0.046666666666666634,0.126,0.15855555555555556,0.115,0.157,0.10744444444444444,0.12633333333333333,0.10644444444444444,0.10322222222222223
12,-116.61008000000001,-135.9716578666667,7.228522050795592,165,5985.0,6300.0,21.0,285.0,0.050000000000000044,0.12755555555555556,0.14955555555555555,0.10855555555555556,0.169,0.10088888888888889,0.13433333333333333,0.11433333333333333,0.09577777777777778
13,-116.61008000000001,-135.00196160000002,6.151061763868964,127,5733.0,6300.0,21.0,273.0,0.08999999999999997,0.12955555555555556,0.14988888888888888,0.10344444444444445,0.18044444444444444,0.09466666666666666,0.12677777777777777,0.11622222222222223,0.099
14,-113.23728000000003,-135.07120346666667,7.469576436061416,40,5649.0,6300.0,21.0,269.0,0.10333333333333339,0.122,0.14777777777777779,0.09277777777777778,0.186,0.09366666666666666,0.12244444444444444,0.13111111111111112,0.10422222222222222
15,-113.23728000000003,-134.1487088,5.930736940401017,218,5460.0,6300.0,21.0,260.0,0.1333333333333333,0.12211111111111111,0.14333333333333334,0.09144444444444444,0.18766666666666668,0.09111111111111111,0.12344444444444444,0.13444444444444445,0.10644444444444444
16,-113.23728000000003,-133.45026600000006,6.369648744897739,183,5418.0,6300.0,21.0,258.0,0.14,0.12044444444444445,0.1481111111111111,0.08222222222222222,0.18822222222222224,0.09211111111111112,0.12122222222222222,0.14,0.10766666666666666
17,-113.23728000000003,-133.27533800000003,6.897217752741078,298,5838.0,6300.0,21.0,278.0,0.07333333333333336,0.10866666666666666,0.153,0.07855555555555556,0.1928888888888889,0.09888888888888889,0.11577777777777777,0.13977777777777778,0.11244444444444444
18,-112.76016000000001,-133.1706986666667,8.70897561668686,26,5901.0,6300.0,21.0,281.0,0.06333333333333335,0.1068888888888889,0.1527777777777778,0.076,0.19722222222222222,0.09855555555555555,0.11511111111111111,0.14,0.11344444444444444
19,-112.76016000000001,-132.32977720000002,8.015162513429168,131,5775.0,6300.0,21.0,275.0,0.08333333333333337,0.09888888888888889,0.1521111111111111,0.07433333333333333,0.1988888888888889,0.10544444444444444,0.12077777777777778,0.1341111111111111,0.11544444444444445
20,-111.13300000000002,-131.1487174666667,8.229717858601896,70,5670.0,6300.0,21.0,270.0,0.09999999999999998,0.094,0.14833333333333334,0.07333333333333333,0.20266666666666666,0.111,0.11944444444444445,0.13422222222222221,0.117
21,-111.13300000000002,-130.7663032,10.878958292509468,295,5796.0,6300.0,21.0,276.0,0.07999999999999996,0.08322222222222223,0.15188888888888888,0.07566666666666666,0.205,0.1111111111111111,0.12644444444444444,0.1272222222222222,0.11944444444444445
22,-111.13300000000002,-128.39815733333336,9.900020839507407,72,5460.0,6300.0,21.0,260.0,0.1333333333333333,0.07877777777777778,0.156,0.07388888888888889,0.2098888888888889,0.11466666666666667,0.12211111111111111,0.11633333333333333,0.12833333333333333
23,-111.13300000000002,-126.35710506666668,9.371169337840737,61,5334.0,6300.0,21.0,254.0,0.15333333333333332,0.07555555555555556,0.15711111111111112,0.07522222222222222,0.21088888888888888,0.11766666666666667,0.1218888888888889,0.11444444444444445,0.1272222222222222
24,-111.13300000000002,-123.98879346666668,8.619839933930718,22,5355.0,6300.0,21.0,255.0,0.15000000000000002,0.07411111111111111,0.16055555555555556,0.07311111111111111,0.20533333333333334,0.12233333333333334,0.12333333333333334,0.11555555555555555,0.12566666666666668
25,-111.13300000000001,-123.00275053333336,8.322080458019522,277,5418.0,6300.0,21.0,258.0,0.14,0.06788888888888889,0.16433333333333333,0.07388888888888889,0.2078888888888889,0.1238888888888889,0.12422222222222222,0.11466666666666667,0.12322222222222222
26,-111.13300000000001,-122.71651026666669,9.823306241642609,295,5292.0,6300.0,21.0,252.0,0.16000000000000003,0.07066666666666667,0.16533333333333333,0.07166666666666667,0.21444444444444444,0.11922222222222222,0.11777777777777777,0.11466666666666667,0.12622222222222224
27,-101.96016000000003,-121.95114773333334,9.809453515861062,36,5607.0,6300.0,21.0,267.0,0.10999999999999999,0.07111111111111111,0.1681111111111111,0.07244444444444445,0.2147777777777778,0.11633333333333333,0.10611111111111111,0.12244444444444444,0.12866666666666668
28,-100.13300000000002,-119.72462186666668,9.520329107802205,294,5397.0,6300.0,21.0,257.0,0.1433333333333333,0.07155555555555555,0.17244444444444446,0.07366666666666667,0.2131111111111111,0.10944444444444444,0.09488888888888888,0.13555555555555557,0.12933333333333333
29,-100.13300000000002,-117.83662373333335,9.965231092880325,67,5355.0,6300.0,21.0,255.0,0.15000000000000002,0.06944444444444445,0.1708888888888889,0.07322222222222222,0.21611111111111111,0.10244444444444445,0.09577777777777778,0.14122222222222222,0.1308888888888889
30,-100.13300000000002,-116.00472080000002,9.291258272654035,36,5292.0,6300.0,21.0,252.0,0.16000000000000003,0.06766666666666667,0.175,0.07677777777777778,0.21966666666666668,0.09011111111111111,0.08944444444444444,0.15022222222222223,0.13111111111111112
31,-100.13300000000002,-114.34979466666667,10.161824387279198,41,5166.0,6300.0,21.0,246.0,0.18000000000000005,0.06744444444444445,0.1811111111111111,0.07522222222222222,0.22211111111111112,0.08122222222222222,0.08277777777777778,0.1612222222222222,0.1288888888888889
32,-100.13300000000002,-112.21740306666669,7.399005024551607,0,5145.0,6300.0,21.0,245.0,0.18333333333333335,0.06977777777777777,0.1847777777777778,0.07788888888888888,0.22344444444444445,0.07177777777777777,0.08155555555555556,0.168,0.12277777777777778
33,-100.13300000000002,-110.44709200000003,8.7080178105722,15,4956.0,6300.0,21.0,236.0,0.21333333333333337,0.06944444444444445,0.18777777777777777,0.08055555555555556,0.23222222222222222,0.06333333333333334,0.07566666666666666,0.179,0.112
