generation,generation_mean,generation_std,best_fitness_mean,best_fitness_std,mean_fitness_mean,mean_fitness_std,std_fitness_mean,std_fitness_std,best_index_mean,best_index_std,execute_calls_mean,execute_calls_std,execute_calls_nominal_mean,execute_calls_nominal_std,fitness_cases_mean,fitness_cases_std,unique_programs_mean,unique_programs_std,duplicate_ratio_mean,duplicate_ratio_std,freq_NOP_mean,freq_NOP_std,freq_X_mean,freq_X_std,freq_+_mean,freq_+_std,freq_-_mean,freq_-_std,freq_*_mean,freq_*_std,freq_1_mean,freq_1_std,freq_-1_mean,freq_-1_std,freq_0_mean,freq_0_std
0,0.0,0.0,5.8,2.2010098692292237,0.32799999999999996,0.09566144004305555,1.3447955720312545,0.1140412666300655,75.0,69.80448887189611,400.0,0.0,400.0,0.0,2.0,0.0,200.0,0.0,0.0,0.0,0.12513333333333335,0.005810696819733775,0.12556666666666666,0.004871306768171115,0.12603333333333333,0.005887211501148843,0.12465,0.004704509263186477,0.12598333333333334,0.004003432169501872,0.12311666666666668,0.004292579011258994,0.12566666666666665,0.0033324072787708544,0.12384999999999999,0.0037617716472329817
1,1.0,0.0,7.8,2.7406406388125957,1.5859999999999999,0.164600526528117,1.3567366428163066,0.17475596330482596,44.5,59.40304893035561,370.8,4.825856285561042,400.0,0.0,2.0,0.0,185.4,2.412928142780521,0.07299999999999997,0.012064640713902555,0.1255,0.011823548380088618,0.1411,0.007417946206729054,0.12991666666666665,0.009025427044374874,0.12025,0.009576285653298995,0.12288333333333334,0.0072094117155251,0.12144999999999999,0.007254223971735272,0.11966666666666667,0.008288024977320677,0.11923333333333333,0.007475969733538932
2,2.0,0.0,9.4,2.836272984824353,2.496,0.3346374489237901,1.487290610876089,0.41253503393291735,86.2,79.03838729798747,366.6,11.471704319759993,400.0,0.0,2.0,0.0,183.3,5.735852159879997,0.08349999999999999,0.028679260799399954,0.12863333333333332,0.012597716822337391,0.14843333333333333,0.01123299812666148,0.1389,0.019963268739498347,0.11775,0.014561968477026928,0.11964999999999999,0.007550835944237575,0.11746666666666668,0.009171480217648404,0.11421666666666666,0.00942221239517307,0.11495,0.011163501486186975
3,3.0,0.0,11.2,3.4253953543107007,3.461,0.7122491761236996,2.1197606360533245,0.5431644377972117,72.1,72.21026396726592,349.6,15.313030036177972,400.0,0.0,2.0,0.0,174.8,7.656515018088986,0.12600000000000003,0.038282575090444956,0.12955,0.020218413866059305,0.15346666666666667,0.016384801750252028,0.15406666666666666,0.03282691232570474,0.11721666666666666,0.028020500652024827,0.11641666666666668,0.01179983521542192,0.1096,0.0171551021816892,0.10941666666666668,0.014710844660225464,0.11026666666666667,0.015133194647757411
4,4.0,0.0,12.0,3.5276684147527875,4.701,1.3551912534153003,2.5145571808032443,0.7736724719521109,45.6,32.48657842521705,327.6,35.008570379265706,400.0,0.0,2.0,0.0,163.8,17.504285189632853,0.181,0.08752142594816426,0.12985,0.02759231978488056,0.1568,0.02161215364523363,0.16751666666666667,0.04016981315476696,0.12610000000000002,0.0457433932354319,0.11256666666666666,0.016532459654335228,0.10101666666666667,0.025199873848400688,0.10438333333333334,0.012555567846601652,0.10176666666666667,0.02220390912084883
5,5.0,0.0,14.2,4.366539438350084,6.082,1.6429296326312268,2.9644997914291453,1.3181304043634223,79.6,59.04837941138699,316.0,46.52359019298107,400.0,0.0,2.0,0.0,158.0,23.261795096490534,0.20999999999999996,0.11630897548245267,0.12589999999999998,0.03303385842539645,0.16473333333333334,0.028715526836216695,0.18396666666666667,0.04407910957851313,0.12666666666666665,0.05468162622777033,0.10643333333333334,0.016553728459955053,0.09761666666666666,0.02642027957534716,0.10173333333333334,0.011933250568717751,0.09295,0.02580602499274009
6,6.0,0.0,15.2,5.43241300999023,7.869,2.1252892613581906,3.514565238872308,1.388644895696854,50.2,48.03887314803848,276.8,48.80983507450112,400.0,0.0,2.0,0.0,138.4,24.40491753725056,0.308,0.12202458768625281,0.12035,0.036112517066647254,0.17304999999999998,0.033473321789224006,0.1958,0.04514071278366442,0.12653333333333333,0.06388255041021437,0.10318333333333334,0.018045629750341765,0.09405,0.026859378893933892,0.10685,0.013362110149760065,0.08018333333333334,0.02914135939108699
7,7.0,0.0,16.4,4.788875998951458,10.026,2.9415423014315314,3.607486932208095,1.4445137720768908,60.2,59.687705787894224,240.0,62.6524806638439,400.0,0.0,2.0,0.0,120.0,31.32624033192195,0.4,0.15663120165960975,0.11328333333333333,0.03898971453481255,0.18301666666666666,0.035315286271591285,0.2081,0.04970879396576488,0.12753333333333333,0.07110051136278404,0.09828333333333333,0.023568006405420158,0.08901666666666666,0.025676579374890686,0.11451666666666667,0.018069900284625153,0.06625,0.028016116393564928
8,8.0,0.0,16.8,4.825856285561029,11.866,3.811337473031394,3.6983382588325378,1.5168220152145286,39.8,47.9114924742604,213.8,46.14421836903177,400.0,0.0,2.0,0.0,106.9,23.072109184515885,0.4655,0.11536054592257942,0.11046666666666667,0.0411908985512187,0.19046666666666665,0.03195181557468243,0.21426666666666666,0.053947631213800716,0.12975,0.06908816383951777,0.09711666666666666,0.024954285363934816,0.08538333333333334,0.026597021322130727,0.11356666666666666,0.020595336880822514,0.05898333333333333,0.028406490520719096
9,9.0,0.0,17.0,4.83045891539648,13.471,4.676861364443276,3.505579308837831,1.6259505628155124,24.1,46.04213046523562,184.0,46.74279504788827,400.0,0.0,2.0,0.0,92.0,23.371397523944136,0.54,0.1168569876197207,0.10858333333333334,0.038767528890764964,0.19346666666666668,0.03066181523622251,0.21563333333333334,0.05124955886591236,0.13265,0.07086234482135238,0.09559999999999999,0.03138187728964318,0.08855,0.032097849049122384,0.11040000000000001,0.02532299984179707,0.05511666666666667,0.023747910889274835
10,10.0,0.0,19.4,6.535373831014651,14.526999999999997,5.206824688169685,3.7628824118373445,1.4640377783093084,51.5,56.8257570707744,165.4,59.68845039964692,400.0,0.0,2.0,0.0,82.7,29.84422519982346,0.5865,0.14922112599911727,0.10366666666666666,0.03542850564652254,0.19544999999999998,0.030075835220281597,0.21760000000000002,0.04812388847521894,0.13213333333333332,0.07144918767734933,0.09515,0.03189706147694795,0.09418333333333333,0.039227293502809436,0.1072,0.025855343073185065,0.05461666666666667,0.022535986311061375
11,11.0,0.0,20.4,6.095535707019979,15.344999999999999,5.153592598049119,3.519817139275463,1.5174164103145462,56.6,75.08543282303313,146.4,68.16841888538515,400.0,0.0,2.0,0.0,73.2,34.084209442692575,0.634,0.17042104721346285,0.10070000000000001,0.03400760626610784,0.20088333333333336,0.03196323601874697,0.22151666666666667,0.04735305079668137,0.12861666666666666,0.0689469311934016,0.0939,0.027725528638271348,0.09776666666666667,0.044607285016499375,0.10731666666666666,0.02706193741752655,0.0493,0.02030960971839637
12,12.0,0.0,20.8,6.124631508189788,15.89,4.942983804230891,4.104140848483192,1.648618241576079,26.0,49.11890335366483,143.2,75.09519884046442,400.0,0.0,2.0,0.0,71.6,37.54759942023221,0.642,0.18773799710116107,0.10196666666666668,0.03480304371533978,0.20658333333333334,0.03564435525757753,0.22441666666666665,0.051293831001061246,0.12546666666666667,0.0659706631394723,0.09025000000000001,0.023262226308750123,0.0995,0.048130288710520164,0.10735000000000001,0.029776373308504297,0.04446666666666667,0.023621474849680198
13,13.0,0.0,20.8,6.124631508189788,17.153,5.296711873102657,3.741904373152977,1.539517118442095,15.7,34.54803419395475,122.6,67.69900704999709,400.0,0.0,2.0,0.0,61.3,33.849503524998546,0.6935,0.16924751762499274,0.10333333333333332,0.03472502210933533,0.21051666666666663,0.04140141123019663,0.22773333333333334,0.053864324298173144,0.12613333333333335,0.06415013254992417,0.0843,0.021351092145425934,0.10313333333333334,0.048725091769038616,0.10513333333333333,0.03540705098224447,0.039716666666666664,0.022875542225240592
14,14.0,0.0,22.2,7.800284895082003,18.39,5.86443897098814,3.822650516151622,1.832655338683839,38.9,64.6468182597652,113.6,66.11639568047987,400.0,0.0,2.0,0.0,56.8,33.058197840239934,0.716,0.16529098920119972,0.10123333333333333,0.0329508800159747,0.217,0.04489878878731476,0.23138333333333333,0.05491402089956649,0.12853333333333333,0.06301145300559687,0.08191666666666667,0.021483448983971674,0.10406666666666667,0.046889165349369294,0.10295000000000001,0.0384443681759038,0.032916666666666664,0.016792166383520973
15,15.0,0.0,22.8,7.671013260609347,19.016,6.492397605404852,3.962203051130919,2.0419454181433165,35.5,61.55079203389669,97.8,71.22702358577739,400.0,0.0,2.0,0.0,48.9,35.613511792888694,0.7555,0.1780675589644435,0.10055,0.033294797168904905,0.22311666666666669,0.046849183425694,0.2332,0.05495749199086441,0.12948333333333334,0.061649369445975835,0.08203333333333333,0.02191676172349475,0.10030000000000001,0.04317348008576618,0.10268333333333332,0.037663917467681794,0.028633333333333334,0.015439607555941358
16,16.0,0.0,23.0,7.557189365836422,19.509,6.27357677529777,4.07319942305607,2.0209943812159223,31.5,54.212032284765385,86.8,63.1133019964008,400.0,0.0,2.0,0.0,43.4,31.5566509982004,0.783,0.15778325499100196,0.10138333333333334,0.035886571132588314,0.22616666666666668,0.05004121757901303,0.23246666666666665,0.0556016364445206,0.1288,0.06125008440407386,0.08278333333333333,0.02215964104758975,0.09773333333333334,0.04118515853982618,0.10353333333333334,0.03774490399746405,0.027133333333333332,0.014810281713878519
17,17.0,0.0,23.0,7.557189365836422,19.6,6.241931681067257,4.763514707771084,2.383132305938871,4.7,7.846442930823283,86.8,68.22316322188527,400.0,0.0,2.0,0.0,43.4,34.111581610942636,0.783,0.17055790805471316,0.10306666666666668,0.038798243564673186,0.22665000000000002,0.05159035284016615,0.23205,0.05791708899393049,0.12903333333333333,0.0614223287505106,0.08255,0.021830159509209524,0.09591666666666666,0.03934629808304088,0.1042,0.037463381297896815,0.026533333333333336,0.014203937899464775
18,18.0,0.0,25.2,10.507140429250958,20.325,6.68865415793375,4.868118131666611,2.8931942854719495,3.7,9.989438867568532,82.0,56.79593099666364,400.0,0.0,2.0,0.0,41.0,28.39796549833182,0.795,0.14198982749165912,0.1036,0.04035714020383628,0.22493333333333335,0.05049166903534987,0.23653333333333332,0.06513171839235275,0.1302,0.06047363469998443,0.08149999999999999,0.02201178135723046,0.09301666666666666,0.037502053441720744,0.10338333333333334,0.037520286693737394,0.02683333333333333,0.015092513065002923
19,19.0,0.0,26.0,10.327955589886447,21.361,6.883402663089108,5.246457781006094,2.9779282045148663,38.7,56.65695995295822,67.6,39.427007100322605,400.0,0.0,2.0,0.0,33.8,19.713503550161303,0.8310000000000001,0.09856751775080654,0.10315,0.04248663188449855,0.22465000000000002,0.04877033922020966,0.23946666666666666,0.07080737214879029,0.13206666666666667,0.06035047843152181,0.07986666666666667,0.024375002374168928,0.09251666666666666,0.038390090831802864,0.10133333333333334,0.04026494048299047,0.02695,0.017337437192245623
20,20.0,0.0,26.8,10.293471501663351,21.965,7.347709015589675,4.772944424693709,2.062854419052838,28.2,52.65147460212086,60.0,26.161889160464778,400.0,0.0,2.0,0.0,30.0,13.080944580232389,0.85,0.06540472290116192,0.10248333333333333,0.0438388216533088,0.2262833333333333,0.047353611331902024,0.23836666666666667,0.07191982847862653,0.13394999999999999,0.06066758495438509,0.07971666666666667,0.024875498630153436,0.09119999999999999,0.038322446118994144,0.10064999999999999,0.040893225162580794,0.027349999999999996,0.018522167233138397
21,21.0,0.0,27.0,9.988882709181132,22.082,7.08045635691812,4.891681428299757,3.678941998278438,20.0,34.15650255319866,61.6,35.09732500094875,400.0,0.0,2.0,0.0,30.8,17.548662500474375,0.8460000000000001,0.08774331250237186,0.10275000000000001,0.04300654917108484,0.22785000000000002,0.04735591858143348,0.23761666666666667,0.06998020222679913,0.13435,0.060748644754481336,0.08028333333333333,0.023852821610145666,0.0911,0.03806323523484584,0.09951666666666667,0.04058176093995496,0.026533333333333332,0.018424319676871533
22,22.0,0.0,27.2,9.897249898611005,22.386000000000003,7.0462727736016575,5.692227750872821,4.135561661732614,15.7,35.696405047754226,71.6,38.4569022846788,400.0,0.0,2.0,0.0,35.8,19.2284511423394,0.8210000000000001,0.09614225571169699,0.1032,0.04065625246130699,0.22875,0.045153049061012175,0.23625,0.06809997416652581,0.13565,0.06102177561137854,0.08053333333333333,0.023245310160211766,0.09131666666666667,0.03893809981604072,0.09741666666666667,0.04043675522145052,0.026883333333333335,0.018108904091838563
