condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation
problem1_3bit_pop200_t5,0,50800,34.0,33.12,34.0,5826.0,114.23529411764706,20400.0,400.0,0.7144117647058823
problem1_3bit_pop200_t5,1,50801,28.0,27.54,28.0,5384.0,105.56862745098039,20400.0,400.0,0.7360784313725491
problem1_3bit_pop200_t5,2,50802,16.0,15.54,16.0,5620.0,110.19607843137256,20400.0,400.0,0.7245098039215687
problem1_3bit_pop200_t5,3,50803,30.0,28.95,30.0,4662.0,91.41176470588235,20400.0,400.0,0.7714705882352941
problem1_3bit_pop200_t5,4,50804,22.0,20.38,22.0,5820.0,114.11764705882354,20400.0,400.0,0.7147058823529412
problem1_3bit_pop200_t5,5,50805,38.0,36.04,38.0,5016.0,98.3529411764706,20400.0,400.0,0.7541176470588236
problem1_3bit_pop200_t5,6,50806,16.0,15.01,16.0,4810.0,94.31372549019608,20400.0,400.0,0.7642156862745099
problem1_3bit_pop200_t5,7,50807,52.0,49.47,52.0,5466.0,107.17647058823529,20400.0,400.0,0.7320588235294118
problem1_3bit_pop200_t5,8,50808,68.0,64.51,68.0,5022.0,98.47058823529412,20400.0,400.0,0.7538235294117646
problem1_3bit_pop200_t5,9,50809,54.0,50.66,54.0,7324.0,143.6078431372549,20400.0,400.0,0.6409803921568628
