condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation,ideal_found,first_ideal_generation
problem2_3bit_pop200_t3,0,51600,-91.16016000000002,-103.43627660000001,-91.16016000000002,59220.0,1161.1764705882354,214200.0,4200.0,0.7235294117647059,0,-1
problem2_3bit_pop200_t3,1,51601,-74.54352000000003,-77.08319420000004,-74.54352000000003,62307.0,1221.7058823529412,214200.0,4200.0,0.7091176470588236,0,-1
problem2_3bit_pop200_t3,2,51602,-50.70500000000001,-52.989365800000016,-50.70500000000001,81333.0,1594.764705882353,214200.0,4200.0,0.6202941176470588,0,-1
problem2_3bit_pop200_t3,3,51603,-20.290719999999993,-35.5793294,-20.290719999999993,101031.0,1981.0,214200.0,4200.0,0.5283333333333333,0,-1
problem2_3bit_pop200_t3,4,51604,-51.066400000000016,-56.792066000000034,-51.066400000000016,76398.0,1498.0,214200.0,4200.0,0.6433333333333334,0,-1
problem2_3bit_pop200_t3,5,51605,-65.16352000000002,-66.41963400000004,-65.16352000000002,75348.0,1477.4117647058824,214200.0,4200.0,0.6482352941176469,0,-1
problem2_3bit_pop200_t3,6,51606,-59.86892000000002,-62.85647340000001,-59.86892000000002,93009.0,1823.7058823529412,214200.0,4200.0,0.5657843137254901,0,-1
problem2_3bit_pop200_t3,7,51607,-74.54352000000003,-78.11624580000006,-74.54352000000003,77805.0,1525.5882352941176,214200.0,4200.0,0.636764705882353,0,-1
problem2_3bit_pop200_t3,8,51608,-32.23100000000001,-36.1478758,-32.23100000000001,94500.0,1852.9411764705883,214200.0,4200.0,0.5588235294117647,0,-1
problem2_3bit_pop200_t3,9,51609,-15.277920000000014,-22.693005200000016,-15.277920000000014,83895.0,1645.0,214200.0,4200.0,0.6083333333333333,0,-1
