generation,best_fitness,mean_fitness,std_fitness,best_index,execute_calls,execute_calls_nominal,fitness_cases,unique_programs,duplicate_ratio,freq_NOP,freq_X,freq_+,freq_-,freq_*,freq_1,freq_-1,freq_0
0,-123.88176000000001,-154.89594720000005,8.802086242078529,120,4200.0,4200.0,21.0,200.0,0.0,0.12216666666666667,0.124,0.12083333333333333,0.12366666666666666,0.128,0.12733333333333333,0.12816666666666668,0.12583333333333332
1,-123.88176000000001,-151.31322860000003,6.719677844905811,34,4032.0,4200.0,21.0,192.0,0.040000000000000036,0.12833333333333333,0.128,0.11883333333333333,0.1215,0.13266666666666665,0.12583333333333332,0.12533333333333332,0.1195
2,-123.88176000000001,-147.96554100000006,6.19032791935928,25,4137.0,4200.0,21.0,197.0,0.015000000000000013,0.12633333333333333,0.13866666666666666,0.11733333333333333,0.11433333333333333,0.13683333333333333,0.13166666666666665,0.12033333333333333,0.1145
3,-113.23728000000003,-145.65730400000007,6.702090309916154,164,4032.0,4200.0,21.0,192.0,0.040000000000000036,0.12483333333333334,0.14466666666666667,0.1195,0.1175,0.133,0.12516666666666668,0.11766666666666667,0.11766666666666667
4,-113.23728000000003,-144.74541600000003,7.07741816222385,16,4074.0,4200.0,21.0,194.0,0.030000000000000027,0.12033333333333333,0.15116666666666667,0.11833333333333333,0.12233333333333334,0.13733333333333334,0.12283333333333334,0.11833333333333333,0.10933333333333334
5,-113.23728000000003,-143.22319420000002,7.242031794817141,50,3969.0,4200.0,21.0,189.0,0.05500000000000005,0.121,0.15183333333333332,0.124,0.117,0.13316666666666666,0.125,0.11633333333333333,0.11166666666666666
6,-113.23728000000003,-142.23368440000002,9.318298644451179,14,3969.0,4200.0,21.0,189.0,0.05500000000000005,0.121,0.1505,0.12316666666666666,0.1175,0.13533333333333333,0.1235,0.114,0.115
7,-112.37156000000003,-139.84277020000002,11.428606318095657,55,3822.0,4200.0,21.0,182.0,0.08999999999999997,0.1215,0.13833333333333334,0.1305,0.12133333333333333,0.13716666666666666,0.12183333333333334,0.11,0.11933333333333333
8,-112.37156000000003,-137.89596520000003,10.847712814254855,4,3927.0,4200.0,21.0,187.0,0.06499999999999995,0.1175,0.13516666666666666,0.12766666666666668,0.1175,0.1415,0.1235,0.11383333333333333,0.12333333333333334
9,-112.78016000000002,-135.39524580000003,11.67848172068092,13,3927.0,4200.0,21.0,187.0,0.06499999999999995,0.1155,0.13066666666666665,0.12233333333333334,0.1235,0.148,0.13033333333333333,0.11566666666666667,0.114
10,-113.23728000000003,-130.49202880000004,12.533608043776805,8,3696.0,4200.0,21.0,176.0,0.12,0.10983333333333334,0.12766666666666668,0.11733333333333333,0.129,0.15783333333333333,0.13233333333333333,0.12633333333333333,0.09966666666666667
11,-111.13300000000002,-127.03849900000004,14.667428408151139,6,3570.0,4200.0,21.0,170.0,0.15000000000000002,0.11383333333333333,0.1175,0.1175,0.13283333333333333,0.16866666666666666,0.132,0.139,0.07866666666666666
12,-111.13300000000002,-122.01778000000004,12.972680967503363,107,3402.0,4200.0,21.0,162.0,0.18999999999999995,0.1155,0.10983333333333334,0.11633333333333333,0.13883333333333334,0.17683333333333334,0.13483333333333333,0.14516666666666667,0.06266666666666666
13,-111.13300000000002,-117.28436760000004,10.957029255044189,68,3360.0,4200.0,21.0,160.0,0.19999999999999996,0.11283333333333333,0.1055,0.11316666666666667,0.144,0.18366666666666667,0.13533333333333333,0.15166666666666667,0.05383333333333333
14,-103.16928000000003,-116.70256440000004,13.336995284113309,79,3192.0,4200.0,21.0,152.0,0.24,0.10816666666666666,0.10333333333333333,0.10916666666666666,0.1465,0.1915,0.14216666666666666,0.15083333333333335,0.04833333333333333
15,-103.16928000000003,-115.08915600000005,12.882281759828109,48,3087.0,4200.0,21.0,147.0,0.265,0.1095,0.10116666666666667,0.104,0.14716666666666667,0.19333333333333333,0.14266666666666666,0.15366666666666667,0.0485
16,-103.16928000000003,-113.84765820000004,6.828608748371278,2,3318.0,4200.0,21.0,158.0,0.20999999999999996,0.10966666666666666,0.10183333333333333,0.1065,0.148,0.1895,0.1475,0.15283333333333332,0.04416666666666667
17,-101.96016000000003,-113.03577420000005,6.211584055471707,129,3339.0,4200.0,21.0,159.0,0.20499999999999996,0.1115,0.102,0.1045,0.14866666666666667,0.18483333333333332,0.1485,0.15133333333333332,0.048666666666666664
18,-101.96016000000003,-113.27558220000004,8.903562959146365,145,3381.0,4200.0,21.0,161.0,0.19499999999999995,0.117,0.0995,0.101,0.15133333333333332,0.17966666666666667,0.14833333333333334,0.1495,0.05366666666666667
19,-103.16928000000003,-114.97612100000006,13.437701941189461,2,3360.0,4200.0,21.0,160.0,0.19999999999999996,0.11566666666666667,0.10133333333333333,0.10166666666666667,0.1515,0.183,0.1515,0.14466666666666667,0.050666666666666665
20,-103.16928000000003,-113.72472900000004,13.887367531715688,4,3339.0,4200.0,21.0,159.0,0.20499999999999996,0.1165,0.1015,0.1025,0.15683333333333332,0.17583333333333334,0.15416666666666667,0.13883333333333334,0.05383333333333333
21,-101.96016000000003,-110.17918600000004,11.080747477249536,74,3318.0,4200.0,21.0,158.0,0.20999999999999996,0.1235,0.10283333333333333,0.10283333333333333,0.16233333333333333,0.16283333333333333,0.16283333333333333,0.125,0.057833333333333334
22,-100.13300000000002,-109.49010120000004,12.952746577666936,144,3381.0,4200.0,21.0,161.0,0.19499999999999995,0.123,0.101,0.10183333333333333,0.16883333333333334,0.16,0.17083333333333334,0.11816666666666667,0.05633333333333333
23,-101.96016000000003,-107.25317360000004,12.67045139403798,29,3255.0,4200.0,21.0,155.0,0.22499999999999998,0.12183333333333334,0.10016666666666667,0.10316666666666667,0.178,0.155,0.17166666666666666,0.11283333333333333,0.05733333333333333
24,-101.96016000000003,-105.15365340000005,9.77696381862204,38,3003.0,4200.0,21.0,143.0,0.28500000000000003,0.11833333333333333,0.09916666666666667,0.1045,0.1865,0.15166666666666667,0.1755,0.11116666666666666,0.05316666666666667
25,-91.16016000000002,-104.36766380000005,8.010101991613437,146,3318.0,4200.0,21.0,158.0,0.20999999999999996,0.12083333333333333,0.0975,0.10416666666666667,0.18316666666666667,0.14933333333333335,0.1785,0.1135,0.053
26,-91.16016000000002,-105.58772020000004,10.996433926267914,109,2982.0,4200.0,21.0,142.0,0.29000000000000004,0.12083333333333333,0.09433333333333334,0.10116666666666667,0.18783333333333332,0.14583333333333334,0.17366666666666666,0.11766666666666667,0.058666666666666666
27,-91.16016000000002,-104.77815180000005,10.052285989317493,80,3087.0,4200.0,21.0,147.0,0.265,0.11983333333333333,0.0955,0.10216666666666667,0.191,0.143,0.172,0.11783333333333333,0.058666666666666666
28,-91.16016000000002,-104.61695820000004,9.290365209885172,72,2814.0,4200.0,21.0,134.0,0.32999999999999996,0.11483333333333333,0.09566666666666666,0.10566666666666667,0.2005,0.14516666666666667,0.1705,0.11616666666666667,0.0515
29,-91.16016000000002,-104.96986540000006,9.392759340004984,26,2793.0,4200.0,21.0,133.0,0.33499999999999996,0.10816666666666666,0.0965,0.1055,0.20916666666666667,0.15183333333333332,0.164,0.116,0.04883333333333333
30,-89.13300000000002,-103.71665400000005,9.466551459127025,99,2436.0,4200.0,21.0,116.0,0.42000000000000004,0.10016666666666667,0.09683333333333333,0.105,0.2205,0.15416666666666667,0.16083333333333333,0.12133333333333333,0.041166666666666664
31,-89.13300000000002,-102.74173840000003,11.615101735525414,4,2184.0,4200.0,21.0,104.0,0.48,0.09666666666666666,0.097,0.10566666666666667,0.23316666666666666,0.15683333333333332,0.15733333333333333,0.12283333333333334,0.0305
32,-89.13300000000002,-99.33023820000003,7.988363286143964,19,1890.0,4200.0,21.0,90.0,0.55,0.0935,0.0975,0.10883333333333334,0.24066666666666667,0.16166666666666665,0.15533333333333332,0.11966666666666667,0.022833333333333334
33,-84.16020000000003,-99.10908180000003,13.705038412536787,162,1596.0,4200.0,21.0,76.0,0.62,0.09383333333333334,0.098,0.107,0.243,0.15983333333333333,0.1585,0.12283333333333334,0.017
34,-84.16020000000003,-95.99392640000002,10.01187505678607,42,1449.0,4200.0,21.0,69.0,0.655,0.0925,0.09933333333333333,0.1065,0.24383333333333335,0.15966666666666668,0.159,0.12616666666666668,0.013
35,-84.16020000000003,-94.54738880000001,12.202238617051325,24,1218.0,4200.0,21.0,58.0,0.71,0.09183333333333334,0.102,0.10333333333333333,0.24616666666666667,0.15516666666666667,0.16183333333333333,0.12816666666666668,0.0115
36,-80.41008000000002,-92.68223980000002,10.292682204010768,77,1092.0,4200.0,21.0,52.0,0.74,0.087,0.105,0.1,0.24783333333333332,0.15283333333333332,0.1635,0.13366666666666666,0.010166666666666666
37,-80.41008000000002,-93.82149480000002,16.207323466634367,90,1155.0,4200.0,21.0,55.0,0.725,0.0865,0.10966666666666666,0.10066666666666667,0.24433333333333335,0.15283333333333332,0.15966666666666668,0.13366666666666666,0.012666666666666666
38,-80.41008000000002,-91.46350960000004,13.03339029028272,52,966.0,4200.0,21.0,46.0,0.77,0.0865,0.11133333333333334,0.1005,0.24433333333333335,0.15183333333333332,0.15783333333333333,0.1335,0.014166666666666666
39,-80.41008000000002,-89.98115560000002,10.763659729201988,56,966.0,4200.0,21.0,46.0,0.77,0.088,0.114,0.10083333333333333,0.244,0.15116666666666667,0.1525,0.13333333333333333,0.016166666666666666
40,-80.41008000000002,-89.48069800000003,13.520251579226624,8,945.0,4200.0,21.0,45.0,0.775,0.086,0.1205,0.1005,0.2475,0.154,0.14533333333333334,0.13366666666666666,0.0125
41,-65.70000000000002,-87.68273600000003,12.747394006071046,102,714.0,4200.0,21.0,34.0,0.83,0.08733333333333333,0.1255,0.10066666666666667,0.2485,0.15466666666666667,0.14133333333333334,0.13366666666666666,0.008333333333333333
42,-80.41008000000002,-85.77033920000002,8.574287867239319,0,756.0,4200.0,21.0,36.0,0.8200000000000001,0.09133333333333334,0.129,0.101,0.24933333333333332,0.15366666666666667,0.13783333333333334,0.13333333333333333,0.0045
43,-80.41008000000002,-86.15006920000003,14.230219226154297,0,714.0,4200.0,21.0,34.0,0.83,0.09483333333333334,0.13366666666666666,0.102,0.25016666666666665,0.15133333333333332,0.133,0.1335,0.0015
