condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation
7bit_problem1,0,40200,64.0,38.5,64.0,10726.0,210.31372549019608,20400.0,400.0,0.4742156862745098
7bit_problem1,1,40201,98.0,91.36,98.0,13174.0,258.3137254901961,20400.0,400.0,0.35421568627450983
7bit_problem1,2,40202,24.0,19.25,30.0,17044.0,334.19607843137254,20400.0,400.0,0.1645098039215686
7bit_problem1,3,40203,38.0,36.28,38.0,10372.0,203.37254901960785,20400.0,400.0,0.49156862745098034
7bit_problem1,4,40204,16.0,15.24,16.0,12068.0,236.62745098039215,20400.0,400.0,0.40843137254901957
7bit_problem1,5,40205,30.0,17.44,30.0,16644.0,326.3529411764706,20400.0,400.0,0.18411764705882355
7bit_problem1,6,40206,24.0,22.68,24.0,11104.0,217.72549019607843,20400.0,400.0,0.45568627450980387
7bit_problem1,7,40207,24.0,22.31,38.0,14844.0,291.05882352941177,20400.0,400.0,0.2723529411764706
7bit_problem1,8,40208,22.0,19.35,22.0,15284.0,299.6862745098039,20400.0,400.0,0.2507843137254902
7bit_problem1,9,40209,26.0,21.24,26.0,14586.0,286.0,20400.0,400.0,0.28500000000000003
