condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation
problem1_3bit_pop200_t3,0,50700,50.0,48.89,50.0,9030.0,177.05882352941177,20400.0,400.0,0.5573529411764706
problem1_3bit_pop200_t3,1,50701,84.0,80.01,84.0,7160.0,140.3921568627451,20400.0,400.0,0.6490196078431373
problem1_3bit_pop200_t3,2,50702,48.0,44.95,48.0,8338.0,163.49019607843138,20400.0,400.0,0.5912745098039215
problem1_3bit_pop200_t3,3,50703,28.0,26.6,28.0,7530.0,147.64705882352942,20400.0,400.0,0.6308823529411766
problem1_3bit_pop200_t3,4,50704,14.0,13.83,14.0,14040.0,275.29411764705884,20400.0,400.0,0.311764705882353
problem1_3bit_pop200_t3,5,50705,10.0,7.89,16.0,13108.0,257.01960784313724,20400.0,400.0,0.3574509803921568
problem1_3bit_pop200_t3,6,50706,28.0,26.85,28.0,7576.0,148.54901960784315,20400.0,400.0,0.6286274509803922
problem1_3bit_pop200_t3,7,50707,14.0,12.42,14.0,15218.0,298.3921568627451,20400.0,400.0,0.25401960784313726
problem1_3bit_pop200_t3,8,50708,24.0,23.18,24.0,9316.0,182.66666666666666,20400.0,400.0,0.5433333333333333
problem1_3bit_pop200_t3,9,50709,38.0,36.92,38.0,8406.0,164.8235294117647,20400.0,400.0,0.5879411764705882
