generation,best_fitness,mean_fitness,std_fitness,best_index,execute_calls,execute_calls_nominal,fitness_cases,unique_programs,duplicate_ratio,freq_NOP,freq_X,freq_+,freq_-,freq_*,freq_1,freq_-1,freq_0
0,4.0,0.4,1.4422205101855958,3,100.0,100.0,2.0,50.0,0.0,0.11933333333333333,0.12133333333333333,0.152,0.11466666666666667,0.12866666666666668,0.10733333333333334,0.14,0.11666666666666667
1,4.0,1.48,1.5904716281656834,5,94.0,100.0,2.0,47.0,0.06000000000000005,0.108,0.13933333333333334,0.15133333333333332,0.10333333333333333,0.16066666666666668,0.092,0.14533333333333334,0.1
2,4.0,2.16,1.781684596105607,7,86.0,100.0,2.0,43.0,0.14,0.11466666666666667,0.13933333333333334,0.15533333333333332,0.106,0.17933333333333334,0.082,0.138,0.08533333333333333
3,6.0,3.08,1.4538225476309,41,86.0,100.0,2.0,43.0,0.14,0.09533333333333334,0.154,0.15933333333333333,0.10333333333333333,0.19333333333333333,0.06466666666666666,0.14333333333333334,0.08666666666666667
4,6.0,3.0,2.6608269391300143,0,78.0,100.0,2.0,39.0,0.21999999999999997,0.09,0.15866666666666668,0.16,0.09933333333333333,0.18933333333333333,0.05533333333333333,0.154,0.09333333333333334
5,6.0,4.2,1.3416407864998738,0,76.0,100.0,2.0,38.0,0.24,0.08333333333333333,0.16333333333333333,0.152,0.09266666666666666,0.194,0.056,0.148,0.11066666666666666
6,6.0,4.96,1.0762899237658967,1,76.0,100.0,2.0,38.0,0.24,0.084,0.16266666666666665,0.158,0.10666666666666667,0.16933333333333334,0.054,0.14466666666666667,0.12066666666666667
7,6.0,5.36,1.2924395537122808,1,52.0,100.0,2.0,26.0,0.48,0.096,0.14933333333333335,0.15866666666666668,0.13333333333333333,0.13533333333333333,0.058,0.14933333333333335,0.12
8,6.0,5.92,0.3919183588453085,0,38.0,100.0,2.0,19.0,0.62,0.098,0.14066666666666666,0.16,0.13133333333333333,0.13066666666666665,0.056,0.156,0.12733333333333333
9,6.0,6.0,0.0,0,44.0,100.0,2.0,22.0,0.56,0.09933333333333333,0.138,0.156,0.13533333333333333,0.132,0.05466666666666667,0.152,0.13266666666666665
10,6.0,5.88,0.84,0,46.0,100.0,2.0,23.0,0.54,0.09666666666666666,0.14266666666666666,0.15666666666666668,0.14,0.12866666666666668,0.056666666666666664,0.158,0.12066666666666667
11,6.0,5.68,1.6178998732925347,0,52.0,100.0,2.0,26.0,0.48,0.09666666666666666,0.14133333333333334,0.16466666666666666,0.15266666666666667,0.11733333333333333,0.06266666666666666,0.156,0.10866666666666666
12,6.0,5.72,1.200666481584291,0,58.0,100.0,2.0,29.0,0.42000000000000004,0.10333333333333333,0.138,0.18,0.16266666666666665,0.10733333333333334,0.06266666666666666,0.146,0.1
13,6.0,5.84,1.1199999999999999,0,48.0,100.0,2.0,24.0,0.52,0.09933333333333333,0.14133333333333334,0.17933333333333334,0.154,0.11,0.06466666666666666,0.154,0.09733333333333333
14,6.0,6.0,0.0,0,54.0,100.0,2.0,27.0,0.45999999999999996,0.106,0.138,0.18266666666666667,0.15733333333333333,0.104,0.06666666666666667,0.15133333333333332,0.094
15,6.0,5.68,1.3481839637082174,0,68.0,100.0,2.0,34.0,0.31999999999999995,0.102,0.14,0.18733333333333332,0.15866666666666668,0.10333333333333333,0.06933333333333333,0.14933333333333335,0.09
16,6.0,5.76,1.0307278981380101,0,70.0,100.0,2.0,35.0,0.30000000000000004,0.1,0.13866666666666666,0.17066666666666666,0.15466666666666667,0.10933333333333334,0.07333333333333333,0.15933333333333333,0.094
17,6.0,6.0,0.0,0,72.0,100.0,2.0,36.0,0.28,0.09666666666666666,0.13,0.18533333333333332,0.15533333333333332,0.10133333333333333,0.07866666666666666,0.164,0.08866666666666667
18,6.0,5.8,1.148912529307606,0,66.0,100.0,2.0,33.0,0.33999999999999997,0.09666666666666666,0.13066666666666665,0.18533333333333332,0.15333333333333332,0.106,0.076,0.162,0.09
19,6.0,5.72,1.3862178760930766,0,52.0,100.0,2.0,26.0,0.48,0.09266666666666666,0.128,0.19266666666666668,0.154,0.102,0.07933333333333334,0.16533333333333333,0.086
20,6.0,5.8,1.4000000000000004,0,52.0,100.0,2.0,26.0,0.48,0.09133333333333334,0.13066666666666665,0.19,0.15533333333333332,0.1,0.07933333333333334,0.166,0.08733333333333333
21,6.0,5.96,0.27999999999999997,0,62.0,100.0,2.0,31.0,0.38,0.08933333333333333,0.13933333333333334,0.18733333333333332,0.14733333333333334,0.10733333333333334,0.076,0.16133333333333333,0.092
